type	id_in_tp	id_in_bigg	descripation	old_bigg_ids	feature_tp	feature_bigg	notes
met	fmn_c	fmn_c	id in bigg				
met	valtrna_c	valtrna_c	id in bigg				
met	al26da_c	al26da_c	id in bigg				
met	accoa_c	accoa_c	id in bigg				
met	spmd_c	spmd_c	id in bigg				
met	trnaleu_c	trnaleu_c	id in bigg				
met	gar_c	gar_c	id in bigg				
met	3hdeacp_c	3hdeacp_c	id in bigg				
met	thfglu_c	thfglu_c	id in bigg				
met	dhptd_c	dhptd_c	id in bigg				
met	alac__S_c	alac__S_c	id in bigg				
met	35cgmp_c	35cgmp_c	id in bigg				
met	uama_c	uama_c	id in bigg				
met	ncam_c	ncam_c	id in bigg				
met	udcp_c	udcp_c	id in bigg				
met	ugmd_c	ugmd_c	id in bigg				
met	trdox_c	trdox_c	id in bigg				
met	asntrna_c	asntrna_c	id in bigg				
met	ala__L_c	ala__L_c	id in bigg				
met	uacmam_c	uacmam_c	id in bigg				
met	glyclt_c	glyclt_c	id in bigg				
met	pydx_c	pydx_c	id in bigg				
met	pyam5p_c	pyam5p_c	id in bigg				
met	pydam_c	pydam_c	id in bigg				
met	tartr__L_c	tartr__L_c	id in bigg				
met	trnatrp_c	trnatrp_c	id in bigg				
met	thmpp_c	thmpp_c	id in bigg				
met	octacp_c	octacp_c	id in bigg				
met	asn__L_c	asn__L_c	id in bigg				
met	2mahmp_c	2mahmp_c	id in bigg				
met	pydam_e	pydam_e	id in bigg				
met	a_gal__D_c	a_gal__D_c	id in bigg				
met	gly_c	gly_c	id in bigg				
met	trp__L_c	trp__L_c	id in bigg				
met	uri_c	uri_c	id in bigg				
met	trnaile_c	trnaile_c	id in bigg				
met	e4p_c	e4p_c	id in bigg				
met	cytd_c	cytd_c	id in bigg				
met	acetone_c	acetone_c	id in bigg				
met	ptrc_c	ptrc_c	id in bigg				
met	sl2a6o_c	sl2a6o_c	id in bigg				
met	gal_c	gal_c	id in bigg				
met	glycogen_e	glycogen_e	id in bigg				
met	3oxocdacp_c	3oxocdacp_c	id in bigg				
met	amet_c	amet_c	id in bigg				
met	no3_c	no3_c	id in bigg				
met	6pgl_c	6pgl_c	id in bigg				
met	udcpdp_c	udcpdp_c	id in bigg				
met	34dhpha_c	34dhpha_c	id in bigg				
met	5pmev_c	5pmev_c	id in bigg				
met	hista_e	hista_e	id in bigg				
met	3ophb_c	3ophb_c	id in bigg				
met	val__L_e	val__L_e	id in bigg				
met	dtdp6dm_c	dtdp6dm_c	id in bigg				
met	glntrna_c	glntrna_c	id in bigg				
met	akg_c	akg_c	id in bigg				
met	achms_c	achms_c	id in bigg				
met	g3pg_c	g3pg_c	id in bigg				
met	gtp_c	gtp_c	id in bigg				
met	phe__L_c	phe__L_c	id in bigg				
met	pi_e	pi_e	id in bigg				
met	pydx5p_c	pydx5p_c	id in bigg				
met	rbt_c	rbt_c	id in bigg				
met	trnapro_c	trnapro_c	id in bigg				
met	tyr__L_c	tyr__L_c	id in bigg				
met	sbt6p_c	sbt6p_c	id in bigg				
met	rml_c	rml_c	id in bigg				
met	btn_e	btn_e	id in bigg				
met	thm_c	thm_c	id in bigg				
met	glyb_c	glyb_c	id in bigg				
met	dimp_c	dimp_c	id in bigg				
met	sbt__L_c	sbt__L_c	id in bigg				
met	ribflv_e	ribflv_e	id in bigg				
met	histrna_c	histrna_c	id in bigg				
met	nh3_c	nh3_c	id in bigg				
met	3hocacp_c	3hocacp_c	id in bigg				
met	2dr5p_c	2dr5p_c	id in bigg				
met	ahdt_c	ahdt_c	id in bigg				
met	imacp_c	imacp_c	id in bigg				
met	lcts_c	lcts_c	id in bigg				
met	adn_c	adn_c	id in bigg				
met	frdp_c	frdp_c	id in bigg				
met	suc6p_c	suc6p_c	id in bigg				
met	2p4c2me_c	2p4c2me_c	id in bigg				
met	dgtp_c	dgtp_c	id in bigg				
met	fmet_c	fmet_c	id in bigg				
met	acmalt_c	acmalt_c	id in bigg				
met	2tddacp_c	2tddacp_c	id in bigg				
met	ade_c	ade_c	id in bigg				
met	g3pc_c	g3pc_c	id in bigg				
met	na1_e	na1_e	id in bigg				
met	f6p_c	f6p_c	id in bigg				
met	ac_c	ac_c	id in bigg				
met	glu__D_c	glu__D_c	id in bigg				
met	dcyt_e	dcyt_e	id in bigg				
met	sucr_e	sucr_e	id in bigg				
met	xmp_c	xmp_c	id in bigg				
met	5odhf2a_c	5odhf2a_c	id in bigg				
met	idp_c	idp_c	id in bigg				
met	acnam_c	acnam_c	id in bigg				
met	datp_c	datp_c	id in bigg				
met	dxyl5p_c	dxyl5p_c	id in bigg				
met	4abz_e	4abz_e	id in bigg				
met	3mbal_c	3mbal_c	id in bigg				
met	h2o_c	h2o_c	id in bigg				
met	trnaval_c	trnaval_c	id in bigg				
met	malcoa_c	malcoa_c	id in bigg				
met	4h2oxg_c	4h2oxg_c	id in bigg				
met	glyald_c	glyald_c	id in bigg				
met	ala__D_c	ala__D_c	id in bigg				
met	pea_e	pea_e	id in bigg				
met	etoh_e	etoh_e	id in bigg				
met	pser__L_c	pser__L_c	id in bigg				
met	g1p_c	g1p_c	id in bigg				
met	asptrna_c	asptrna_c	id in bigg				
met	rib__D_c	rib__D_c	id in bigg				
met	mn2_e	mn2_e	id in bigg				
met	gly_e	gly_e	id in bigg				
met	glc__D_e	glc__D_e	id in bigg				
met	coa_c	coa_c	id in bigg				
met	2theacp_c	2theacp_c	id in bigg				
met	chol_c	chol_c	id in bigg				
met	nh4_e	nh4_e	id in bigg				
met	3hppnl_c	3hppnl_c	id in bigg				
met	3mbal_e	3mbal_e	id in bigg				
met	2tocdacp_c	2tocdacp_c	id in bigg				
met	gmp_c	gmp_c	id in bigg				
met	glucys_c	glucys_c	id in bigg				
met	dhf_c	dhf_c	id in bigg				
met	leu__L_e	leu__L_e	id in bigg				
met	dtdp_c	dtdp_c	id in bigg				
met	1pyr5c_c	1pyr5c_c	id in bigg				
met	adpglc_c	adpglc_c	id in bigg				
met	mal__L_e	mal__L_e	id in bigg				
met	citr__L_c	citr__L_c	id in bigg				
met	thf_c	thf_c	id in bigg				
met	unaga_c	unaga_c	id in bigg				
met	xtsn_c	xtsn_c	id in bigg				
met	r5p_c	r5p_c	id in bigg				
met	unagama_c	unagama_c	id in bigg				
met	dudp_c	dudp_c	id in bigg				
met	cit_e	cit_e	id in bigg				
met	sucr_c	sucr_c	id in bigg				
met	2ttdeacp_c	2ttdeacp_c	id in bigg				
met	3hpaacp_c	3hpaacp_c	id in bigg				
met	g3pe_c	g3pe_c	id in bigg				
met	fuc__L_e	fuc__L_e	id in bigg				
met	6pgg_c	6pgg_c	id in bigg				
met	dtdpglc_c	dtdpglc_c	id in bigg				
met	drib_c	drib_c	id in bigg				
met	ser__D_c	ser__D_c	id in bigg				
met	glcn__D_e	glcn__D_e	id in bigg				
met	cdp_c	cdp_c	id in bigg				
met	pi_c	pi_c	id in bigg				
met	2ins_c	2ins_c	id in bigg				
met	actn__R_c	actn__R_c	id in bigg				
met	glc__D_c	glc__D_c	id in bigg				
met	acg5p_c	acg5p_c	id in bigg				
met	o2_c	o2_c	id in bigg				
met	pap_c	pap_c	id in bigg				
met	pacald_c	pacald_c	id in bigg				
met	2cpr5p_c	2cpr5p_c	id in bigg				
met	arg__L_e	arg__L_e	id in bigg				
met	orot5p_c	orot5p_c	id in bigg				
met	nac_e	nac_e	id in bigg				
met	hista_c	hista_c	id in bigg				
met	utp_c	utp_c	id in bigg				
met	dump_c	dump_c	id in bigg				
met	orn__L_c	orn__L_c	id in bigg				
met	damp_c	damp_c	id in bigg				
met	actp_c	actp_c	id in bigg				
met	gdptp_c	gdptp_c	id in bigg				
met	glu__L_c	glu__L_c	id in bigg				
met	dttp_c	dttp_c	id in bigg				
met	fru_e	fru_e	id in bigg				
met	so4_e	so4_e	id in bigg				
met	fol_c	fol_c	id in bigg				
met	asp__L_e	asp__L_e	id in bigg				
met	acald_c	acald_c	id in bigg				
met	g3pi_c	g3pi_c	id in bigg				
met	bzal_e	bzal_e	id in bigg				
met	phenol_c	phenol_c	id in bigg				
met	co2_e	co2_e	id in bigg				
met	glyc_c	glyc_c	id in bigg				
met	phom_c	phom_c	id in bigg				
met	rmn_c	rmn_c	id in bigg				
met	13ppd_c	13ppd_c	id in bigg				
met	mal__L_c	mal__L_c	id in bigg				
met	fad_c	fad_c	id in bigg				
met	acser_c	acser_c	id in bigg				
met	dcamp_c	dcamp_c	id in bigg				
met	methf_c	methf_c	id in bigg				
met	mlthf_c	mlthf_c	id in bigg				
met	glu5p_c	glu5p_c	id in bigg				
met	pyr_c	pyr_c	id in bigg				
met	4c2me_c	4c2me_c	id in bigg				
met	mi1p__D_c	mi1p__D_c	id in bigg				
met	glutrna_c	glutrna_c	id in bigg				
met	prfp_c	prfp_c	id in bigg				
met	2chdeacp_c	2chdeacp_c	id in bigg				
met	o2_e	o2_e	id in bigg				
met	2aeppn_c	2aeppn_c	id in bigg				
met	3php_c	3php_c	id in bigg				
met	pacald_e	pacald_e	id in bigg				
met	trnaasn_c	trnaasn_c	id in bigg				
met	3oxhacp_c	3oxhacp_c	id in bigg				
met	hom__L_c	hom__L_c	id in bigg				
met	glycogen_c	glycogen_c	id in bigg				
met	mqn7_c	mqn7_c	id in bigg				
met	dpcoa_c	dpcoa_c	id in bigg				
met	nadph_c	nadph_c	id in bigg				
met	3psme_c	3psme_c	id in bigg				
met	ac_e	ac_e	id in bigg				
met	3oxdeacp_c	3oxdeacp_c	id in bigg				
met	protrna_c	protrna_c	id in bigg				
met	h_c	h_c	id in bigg				
met	trnaasp_c	trnaasp_c	id in bigg				
met	ade_e	ade_e	id in bigg				
met	4ampm_c	4ampm_c	id in bigg				
met	5aizc_c	5aizc_c	id in bigg				
met	oxa_c	oxa_c	id in bigg				
met	4pasp_c	4pasp_c	id in bigg				
met	2dda7p_c	2dda7p_c	id in bigg				
met	pphn_c	pphn_c	id in bigg				
met	thm_e	thm_e	id in bigg				
met	5mta_c	5mta_c	id in bigg				
met	hmfurn_c	hmfurn_c	id in bigg				
met	ins_e	ins_e	id in bigg				
met	amp_c	amp_c	id in bigg				
met	rbl__L_c	rbl__L_c	id in bigg				
met	cit_c	cit_c	id in bigg				
met	dhor__S_c	dhor__S_c	id in bigg				
met	imp_c	imp_c	id in bigg				
met	camp_c	camp_c	id in bigg				
met	25aics_c	25aics_c	id in bigg				
met	2dhp_c	2dhp_c	id in bigg				
met	acamoxm_c	acamoxm_c	id in bigg				
met	4hphac_c	4hphac_c	id in bigg				
met	hxan_e	hxan_e	id in bigg				
met	dutp_c	dutp_c	id in bigg				
met	lald__L_c	lald__L_c	id in bigg				
met	gdp_c	gdp_c	id in bigg				
met	2mop_c	2mop_c	id in bigg				
met	pnto__R_e	pnto__R_e	id in bigg				
met	2ahhmp_c	2ahhmp_c	id in bigg				
met	pydxn_e	pydxn_e	id in bigg				
met	sbt__D_e	sbt__D_e	id in bigg				
met	rib__D_e	rib__D_e	id in bigg				
met	anth_c	anth_c	id in bigg				
met	f1p_c	f1p_c	id in bigg				
met	glytrna_c	glytrna_c	id in bigg				
met	3mob_c	3mob_c	id in bigg				
met	pram_c	pram_c	id in bigg				
met	trnaarg_c	trnaarg_c	id in bigg				
met	4ahmmp_c	4ahmmp_c	id in bigg				
met	dgmp_c	dgmp_c	id in bigg				
met	3htdacp_c	3htdacp_c	id in bigg				
met	grdp_c	grdp_c	id in bigg				
met	ru5p__D_c	ru5p__D_c	id in bigg				
met	cdprbtl_c	cdprbtl_c	id in bigg				
met	13dpg_c	13dpg_c	id in bigg				
met	aaacp_c	aaacp_c	id in bigg				
met	asp__D_c	asp__D_c	id in bigg				
met	itp_c	itp_c	id in bigg				
met	raffin_c	raffin_c	id in bigg				
met	4adcho_c	4adcho_c	id in bigg				
met	tdeacp_c	tdeacp_c	id in bigg				
met	nadh_c	nadh_c	id in bigg				
met	drib_e	drib_e	id in bigg				
met	gthrd_c	gthrd_c	id in bigg				
met	dtmp_c	dtmp_c	id in bigg				
met	mettrna_c	mettrna_c	id in bigg				
met	gln__L_c	gln__L_c	id in bigg				
met	3oxhdacp_c	3oxhdacp_c	id in bigg				
met	phe__L_e	phe__L_e	id in bigg				
met	5mthf_c	5mthf_c	id in bigg				
met	ala__L_e	ala__L_e	id in bigg				
met	no2_e	no2_e	id in bigg				
met	pran_c	pran_c	id in bigg				
met	cys__L_e	cys__L_e	id in bigg				
met	dgdp_c	dgdp_c	id in bigg				
met	rhcys_c	rhcys_c	id in bigg				
met	cdpglyc_c	cdpglyc_c	id in bigg				
met	2thdeacp_c	2thdeacp_c	id in bigg				
met	3hocdacp_c	3hocdacp_c	id in bigg				
met	dnad_c	dnad_c	id in bigg				
met	dmpp_c	dmpp_c	id in bigg				
met	trdrd_c	trdrd_c	id in bigg				
met	35cimp_c	35cimp_c	id in bigg				
met	4ppcys_c	4ppcys_c	id in bigg				
met	3mop_c	3mop_c	id in bigg				
met	prpp_c	prpp_c	id in bigg				
met	mnl1p_c	mnl1p_c	id in bigg				
met	ins_c	ins_c	id in bigg				
met	trnatyr_c	trnatyr_c	id in bigg				
met	trnaglu_c	trnaglu_c	id in bigg				
met	galt_e	galt_e	id in bigg				
met	fprica_c	fprica_c	id in bigg				
met	atp_c	atp_c	id in bigg				
met	4hglu_c	4hglu_c	id in bigg				
met	ptrc_e	ptrc_e	id in bigg				
met	ump_c	ump_c	id in bigg				
met	indpyr_c	indpyr_c	id in bigg				
met	acmana_c	acmana_c	id in bigg				
met	lys__L_e	lys__L_e	id in bigg				
met	man6p_c	man6p_c	id in bigg				
met	psd5p_c	psd5p_c	id in bigg				
met	adprib_c	adprib_c	id in bigg				
met	udp_c	udp_c	id in bigg				
met	4abut_c	4abut_c	id in bigg				
met	cmp_c	cmp_c	id in bigg				
met	arg__L_c	arg__L_c	id in bigg				
met	trnahis_c	trnahis_c	id in bigg				
met	lac__D_c	lac__D_c	id in bigg				
met	3dhsk_c	3dhsk_c	id in bigg				
met	trnaala_c	trnaala_c	id in bigg				
met	2toceacp_c	2toceacp_c	id in bigg				
met	din_c	din_c	id in bigg				
met	asn__L_e	asn__L_e	id in bigg				
met	skm5p_c	skm5p_c	id in bigg				
met	asp__L_c	asp__L_c	id in bigg				
met	acgam1p_c	acgam1p_c	id in bigg				
met	4abz_c	4abz_c	id in bigg				
met	mnl_c	mnl_c	id in bigg				
met	3pg_c	3pg_c	id in bigg				
met	gcald_c	gcald_c	id in bigg				
met	csn_c	csn_c	id in bigg				
met	lys__L_c	lys__L_c	id in bigg				
met	gua_e	gua_e	id in bigg				
met	2oph_c	2oph_c	id in bigg				
met	acmanap_c	acmanap_c	id in bigg				
met	acgam6p_c	acgam6p_c	id in bigg				
met	acgam_e	acgam_e	id in bigg				
met	rml1p_c	rml1p_c	id in bigg				
met	23dhdp_c	23dhdp_c	id in bigg				
met	no2_c	no2_c	id in bigg				
met	ddeacp_c	ddeacp_c	id in bigg				
met	gal1p_c	gal1p_c	id in bigg				
met	btn_c	btn_c	id in bigg				
met	r1p_c	r1p_c	id in bigg				
met	leu__L_c	leu__L_c	id in bigg				
met	aacoa_c	aacoa_c	id in bigg				
met	dctp_c	dctp_c	id in bigg				
met	udcpp_c	udcpp_c	id in bigg				
met	glyb_e	glyb_e	id in bigg				
met	diact_c	diact_c	id in bigg				
met	gam6p_c	gam6p_c	id in bigg				
met	3oxddacp_c	3oxddacp_c	id in bigg				
met	trp__L_e	trp__L_e	id in bigg				
met	acmama_c	acmama_c	id in bigg				
met	hxan_c	hxan_c	id in bigg				
met	met__L_c	met__L_c	id in bigg				
met	ura_e	ura_e	id in bigg				
met	2ahhmd_c	2ahhmd_c	id in bigg				
met	glu5sa_c	glu5sa_c	id in bigg				
met	glu__L_e	glu__L_e	id in bigg				
met	g3ps_c	g3ps_c	id in bigg				
met	succ_e	succ_e	id in bigg				
met	fol_e	fol_e	id in bigg				
met	arab__L_e	arab__L_e	id in bigg				
met	cellb_e	cellb_e	id in bigg				
met	man1p_c	man1p_c	id in bigg				
met	iletrna_c	iletrna_c	id in bigg				
met	glyc__R_c	glyc__R_c	id in bigg				
met	2hxic__L_c	2hxic__L_c	id in bigg				
met	fpram_c	fpram_c	id in bigg				
met	melib_c	melib_c	id in bigg				
met	ribflvRD_c	ribflvRD_c	id in bigg				
met	2pglyc_c	2pglyc_c	id in bigg				
met	2ddg6p_c	2ddg6p_c	id in bigg				
met	fru_c	fru_c	id in bigg				
met	n2ppn_c	n2ppn_c	id in bigg				
met	s7p_c	s7p_c	id in bigg				
met	his__L_e	his__L_e	id in bigg				
met	thr__L_c	thr__L_c	id in bigg				
met	sbt__D_c	sbt__D_c	id in bigg				
met	4mpetz_c	4mpetz_c	id in bigg				
met	pnto__R_c	pnto__R_c	id in bigg				
met	nad_c	nad_c	id in bigg				
met	adp_c	adp_c	id in bigg				
met	dcdp_c	dcdp_c	id in bigg				
met	tre6p_c	tre6p_c	id in bigg				
met	udpgalfur_c	udpgalfur_c	id in bigg				
met	uAgl_c	uAgl_c	id in bigg				
met	34hpp_c	34hpp_c	id in bigg				
met	xan_c	xan_c	id in bigg				
met	so4_c	so4_c	id in bigg				
met	cys__L_c	cys__L_c	id in bigg				
met	3oxtdacp_c	3oxtdacp_c	id in bigg				
met	apoACP_c	apoACP_c	id in bigg				
met	na1_c	na1_c	id in bigg				
met	trnacys_c	trnacys_c	id in bigg				
met	prlp_c	prlp_c	id in bigg				
met	ru5p__L_c	ru5p__L_c	id in bigg				
met	succoa_c	succoa_c	id in bigg				
met	4met2obut_c	4met2obut_c	id in bigg				
met	hexacp_c	hexacp_c	id in bigg				
met	malt_e	malt_e	id in bigg				
met	uaccg_c	uaccg_c	id in bigg				
met	lcts_e	lcts_e	id in bigg				
met	uamr_c	uamr_c	id in bigg				
met	uamag_c	uamag_c	id in bigg				
met	mev__R_c	mev__R_c	id in bigg				
met	ile__L_c	ile__L_c	id in bigg				
met	val__L_c	val__L_c	id in bigg				
met	glyclt_e	glyclt_e	id in bigg				
met	xan_e	xan_e	id in bigg				
met	malt_c	malt_c	id in bigg				
met	6pgc_c	6pgc_c	id in bigg				
met	tyrtrna_c	tyrtrna_c	id in bigg				
met	gua_c	gua_c	id in bigg				
met	phetrna_c	phetrna_c	id in bigg				
met	trnathr_c	trnathr_c	id in bigg				
met	35ccmp_c	35ccmp_c	id in bigg				
met	cbp_c	cbp_c	id in bigg				
met	for_c	for_c	id in bigg				
met	ppi_c	ppi_c	id in bigg				
met	thymd_c	thymd_c	id in bigg				
met	leutrna_c	leutrna_c	id in bigg				
met	mnl_e	mnl_e	id in bigg				
met	thmmp_c	thmmp_c	id in bigg				
met	ser__L_c	ser__L_c	id in bigg				
met	dha_c	dha_c	id in bigg				
met	ctp_c	ctp_c	id in bigg				
met	histd_c	histd_c	id in bigg				
met	fdp_c	fdp_c	id in bigg				
met	butacp_c	butacp_c	id in bigg				
met	hdeacp_c	hdeacp_c	id in bigg				
met	thymd_e	thymd_e	id in bigg				
met	thrtrna_c	thrtrna_c	id in bigg				
met	sl26da_c	sl26da_c	id in bigg				
met	melib_e	melib_e	id in bigg				
met	decacp_c	decacp_c	id in bigg				
met	lac__D_e	lac__D_e	id in bigg				
met	phpyr_c	phpyr_c	id in bigg				
met	dadp_c	dadp_c	id in bigg				
met	2ahbut_c	2ahbut_c	id in bigg				
met	nac_c	nac_c	id in bigg				
met	chol_e	chol_e	id in bigg				
met	srb__L_c	srb__L_c	id in bigg				
met	ala__B_c	ala_B_c	id in old_bigg_ids	ala-B[c]; ala_B; ala_B[c]; ala_B_c; ala_DASH_B_c; ala__B_c			replaced
met	dtdpddg_c	dtdp4d6dg_c	id in old_bigg_ids	dtdp4d6dg; dtdp4d6dg[c]; dtdp4d6dg_c; dtdpddg; dtdpddg_c			replaced
met	dtdpddm_c	dtdp4d6dm_c	id in old_bigg_ids	dtdp4d6dm; dtdp4d6dm[c]; dtdp4d6dm_c; dtdpddm; dtdpddm_c			replaced
met	2c25dho_c	4cml_c	id in old_bigg_ids	2c25dho; 2c25dho_c; 4cml; 4cml_c			replaced
met	thglu_c	hpglu_c	id in old_bigg_ids	hpglu; hpglu_c; thglu; thglu[c]; thglu_c			replaced
met	btd__RR_e	btd_RR_e	id in old_bigg_ids	btd-RR[e]; btd_DASH_RR_e; btd_RR; btd_RR_e; btd__RR_e			replaced
met	dad__2_c	dad_2_c	id in old_bigg_ids	dad-2[c]; dad_2; dad_2[c]; dad_2_c; dad_DASH_2_c; dad__2_c			replaced
met	2mbal_e	2mbald_e	id in old_bigg_ids	2mbal; 2mbal_e; 2mbald; 2mbald_e			replaced
met	5mthglu_c	mhpglu_c	id in old_bigg_ids	5mthglu; 5mthglu[c]; 5mthglu_c; mhpglu; mhpglu_c			replaced
met	2mbal_c	2mbald_c	id in old_bigg_ids	2mbal; 2mbal_c; 2mbald; 2mbald_c			replaced
met	26dap__LL_c	26dap_LL_c	id in old_bigg_ids	26dap-LL[c]; 26dap_DASH_LL_c; 26dap_LL; 26dap_LL[c]; 26dap_LL_c; 26dap__LL_c; _26dap_LL_c			replaced
met	LTAglc_LPL_c		not in bigg				
met	2mpal_c		not in bigg				
met	RTA_c		not in bigg				
