id_in_tp	bigg	metnetx	metacyc	kegg	seed	type	model
cpd00443_c0	['M_4abz', '4abz']	MNXM421	P-AMINO-BENZOATE	['C00568', 'D02456']	cpd00443	met	Lreu_seed
cpd02920_c0	['M_2ahhmd', '2ahhmd']	MNXM91459			cpd02920	met	Lreu_seed
cpd00012_c0	['M_ppi', 'ppi']	MNXM11	PPI	C00013	cpd00012	met	Lreu_seed
cpd00067_c0	['h', 'M_h']	MNXM1	PROTON	C00080	cpd00067	met	Lreu_seed
cpd00683_c0	['dhpt', 'M_dhpt']	MNXM965		C00921	cpd00683	met	Lreu_seed
cpd00114_c0	['imp', 'M_imp']	MNXM125	IMP	C00130	cpd00114	met	Lreu_seed
cpd00103_c0	['M_prpp', 'prpp']	MNXM91	PRPP	C00119	cpd00103	met	Lreu_seed
cpd00226_c0	['hxan', 'M_hxan']	MNXM213	HYPOXANTHINE	C00262	cpd00226	met	Lreu_seed
cpd00001_c0	['M_h2o', 'oh1', 'M_oh1', 'h2o']	MNXM2	['OXONIUM', 'WATER', 'OH']	['C00001', 'D00001', 'C01328']	['cpd15275', 'cpd00001']	met	Lreu_seed
cpd01759_c0		MNXM5236	CPD-576	C02715	cpd01759	met	Lreu_seed
cpd00041_c0	['CE1787', 'M_CE1787', 'M_asp__L', 'CE5868', 'M_CE5868', 'asp__L']	MNXM42	L-ASPARTATE	['C16433', 'D00013', 'C00049']	['cpd00041', 'cpd19181']	met	Lreu_seed
cpd00049_c0	['M_Rtotal', 'Rtotal', 'M_Rtotal2', 'Rtotal2', 'M_Rtotal3', 'Rtotal3']	MNXM72	['Carboxylates', 'Fatty-Acids', 'Monocarboxylates']	['C00060', 'C02403', 'C00162']	['cpd00049', 'cpd19000', 'cpd12094']	met	Lreu_seed
cpd00002_c0	['atp', 'M_atp']	MNXM3	ATP	['D08646', 'C00002']	cpd00002	met	Lreu_seed
cpd00008_c0	['M_adp', 'adp']	MNXM7	ADP	['C00008', 'G11113']	cpd00008	met	Lreu_seed
cpd00009_c0	['pi', 'M_pi']	MNXM9	['Pi', 'CPD-16459']	['C00009', 'D05467']	cpd00009	met	Lreu_seed
cpd00947_c0		MNXM269	Lactosyl-Ceramides	['G00092', 'C01290']	cpd00947	met	Lreu_seed
cpd00108_c0	['M_gal', 'gal']	MNXM390	['ALPHA-D-GALACTOSE', 'D-galactopyranose', 'D-Galactose']	['C00984', 'C00124', 'D04291']	['cpd26818', 'cpd00724', 'cpd00108', 'cpd01112']	met	Lreu_seed
cpd00878_c0	['M_gluside_cho', 'gluside_cho']	MNXM146539	Glucosyl-ceramides	['G10238', 'C01190']	cpd00878	met	Lreu_seed
cpd00026_c0	['M_udpg', 'udpg']	MNXM52	CPD-12575	['G10608', 'C00029']	['cpd00026', 'cpd28293']	met	Lreu_seed
cpd15746_c0		MNXM5882			cpd15746	met	Lreu_seed
cpd00014_c0	['udp', 'M_udp']	MNXM17	UDP	['C00015', 'G10619']	cpd00014	met	Lreu_seed
cpd15755_c0		MNXM8988			cpd15755	met	Lreu_seed
cpd00046_c0	['M_cmp', 'cmp']	MNXM31	CMP	['G10621', 'C00055']	cpd00046	met	Lreu_seed
cpd00096_c0	['cdp', 'M_cdp']	MNXM220	CDP	C00112	cpd00096	met	Lreu_seed
cpd00037_c0	['M_uacgam', 'uacgam']	MNXM47	UDP-N-ACETYL-D-GLUCOSAMINE	['C00043', 'G10610']	cpd00037	met	Lreu_seed
cpd03494_c0	['M_uagmda', 'uagmda']	MNXM2264	C5	['C05897', 'G10556']	cpd03494	met	Lreu_seed
cpd03495_c0	['uaagmda', 'M_uaagmda']	MNXM1242			cpd03495	met	Lreu_seed
cpd00658_c0	['M_ichor', 'ichor']	MNXM799	ISOCHORISMATE	C00885	cpd00658	met	Lreu_seed
cpd00020_c0	['M_pyr', 'pyr']	MNXM23	PYRUVATE	C00022	cpd00020	met	Lreu_seed
cpd02566_c0	['M_23ddhb', '23ddhb']	MNXM114261	DIHYDRO-DIOH-BENZOATE	C04171	['cpd29666', 'cpd02566']	met	Lreu_seed
cpd00023_c0	['glu__L', 'M_glu__L']	MNXM89557	['Glutamates', 'GLT']	['C00025', 'D00007', 'C00302', 'D04341']	['cpd00023', 'cpd27177', 'cpd19002']	met	Lreu_seed
cpd00084_c0	['cys__L', 'M_cys__L']	MNXM55	CYS	['C00097', 'D00026', 'C00736']	['cpd00547', 'cpd00084']	met	Lreu_seed
cpd00506_c0		MNXM54306			cpd00506	met	Lreu_seed
cpd00004_c0	['nadh', 'M_nadh']	MNXM10	NADH	C00004	cpd00004	met	Lreu_seed
cpd11527_c0		MNXM8210			cpd11527	met	Lreu_seed
cpd00003_c0	['nad', 'M_nad']	MNXM8	NAD	['D00002', 'C00003']	cpd00003	met	Lreu_seed
cpd11528_c0		MNXM8209			cpd11528	met	Lreu_seed
cpd00533_c0	['M_dcdp', 'dcdp']	MNXM411	DCDP	C00705	cpd00533	met	Lreu_seed
cpd00356_c0	['M_dctp', 'dctp']	MNXM360	DCTP	C00458	cpd00356	met	Lreu_seed
cpd00032_c0	['M_oaa', 'oaa']	MNXM46	OXALACETIC_ACID	C00036	cpd00032	met	Lreu_seed
cpd00011_c0	['co2', 'M_co2']	MNXM13	CARBON-DIOXIDE	['C00011', 'D00004']	cpd00011	met	Lreu_seed
cpd00061_c0	['M_pep', 'pep']	MNXM73	PHOSPHO-ENOL-PYRUVATE	C00074	cpd00061	met	Lreu_seed
cpd00067_e0	['M_h', 'h']	MNXM1	PROTON	C00080	cpd00067	met	Lreu_seed
cpd00075_e0	['no2', 'M_no2']	MNXM107	NITRITE	C00088	cpd00075	met	Lreu_seed
cpd00075_c0	['M_no2', 'no2']	MNXM107	NITRITE	C00088	cpd00075	met	Lreu_seed
cpd00213_c0	['M_lpam', 'lpam']	MNXM1024	LIPOAMIDE	['C00248', 'D00048']	cpd00213	met	Lreu_seed
cpd03049_c0	['2ahethmpp', 'M_2ahethmpp']	MNXM1705	2-ALPHA-HYDROXYETHYL-THPP	C05125	cpd03049	met	Lreu_seed
cpd00056_c0	['thmpp', 'M_thmpp']	MNXM256	THIAMINE-PYROPHOSPHATE	C00068	cpd00056	met	Lreu_seed
cpd00836_c0	['HC00682', 'M_HC00682', 'M_adhlam', 'adhlam']	MNXM4815	S-ACETYLDIHYDROLIPOAMIDE	C01136	cpd00836	met	Lreu_seed
cpd00006_c0	['M_nadp', 'nadp']	MNXM5	NADP	C00006	cpd00006	met	Lreu_seed
