,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature1,feature2,other
0,met,4mop_c,4mop_c,id in bigg,,,,
1,met,etha_c,etha_c,id in bigg,,,,
2,met,acgal6p_c,acgal6p_c,id in bigg,,,,
3,met,udpg_c,udpg_c,id in bigg,,,,
4,met,fgam_c,fgam_c,id in bigg,,,,
5,met,succ_c,succ_c,id in bigg,,,,
6,met,aps_c,aps_c,id in bigg,,,,
7,met,nicrnt_c,nicrnt_c,id in bigg,,,,
8,met,actn__R_e,actn__R_e,id in bigg,,,,
9,met,pydxn_c,pydxn_c,id in bigg,,,,
10,met,acg5sa_c,acg5sa_c,id in bigg,,,,
11,met,dgsn_c,dgsn_c,id in bigg,,,,
12,met,paps_c,paps_c,id in bigg,,,,
13,met,dhap_c,dhap_c,id in bigg,,,,
14,met,fum_c,fum_c,id in bigg,,,,
15,met,2dr1p_c,2dr1p_c,id in bigg,,,,
16,met,spmd_e,spmd_e,id in bigg,,,,
17,met,4ppan_c,4ppan_c,id in bigg,,,,
18,met,10fthf_c,10fthf_c,id in bigg,,,,
19,met,2tdeacp_c,2tdeacp_c,id in bigg,,,,
20,met,2ddglcn_c,2ddglcn_c,id in bigg,,,,
21,met,cbasp_c,cbasp_c,id in bigg,,,,
22,met,trnaphe_c,trnaphe_c,id in bigg,,,,
23,met,pppi_c,pppi_c,id in bigg,,,,
24,met,argsuc_c,argsuc_c,id in bigg,,,,
25,met,thr__L_e,thr__L_e,id in bigg,,,,
26,met,chor_c,chor_c,id in bigg,,,,
27,met,glyc3p_c,glyc3p_c,id in bigg,,,,
28,met,eig3p_c,eig3p_c,id in bigg,,,,
29,met,tyr__L_e,tyr__L_e,id in bigg,,,,
30,met,dha_e,dha_e,id in bigg,,,,
31,met,for_e,for_e,id in bigg,,,,
32,met,2hxic__L_e,2hxic__L_e,id in bigg,,,,
33,met,2mba_e,2mba_e,id in bigg,,,,
34,met,hco3_c,hco3_c,id in bigg,,,,
35,met,4abut_e,4abut_e,id in bigg,,,,
36,met,diact_e,diact_e,id in bigg,,,,
37,met,ipdp_c,ipdp_c,id in bigg,,,,
38,met,unagamagp_c,unagamagp_c,id in bigg,,,,
39,met,sucsal_c,sucsal_c,id in bigg,,,,
40,met,lystrna_c,lystrna_c,id in bigg,,,,
41,met,h2o2_c,h2o2_c,id in bigg,,,,
42,met,prbamp_c,prbamp_c,id in bigg,,,,
43,met,g3p_c,g3p_c,id in bigg,,,,
44,met,trnalys_c,trnalys_c,id in bigg,,,,
45,met,nadp_c,nadp_c,id in bigg,,,,
46,met,35cdamp_c,35cdamp_c,id in bigg,,,,
47,met,ile__L_e,ile__L_e,id in bigg,,,,
48,met,3ig3p_c,3ig3p_c,id in bigg,,,,
49,met,ahcys_c,ahcys_c,id in bigg,,,,
50,met,co2_c,co2_c,id in bigg,,,,
51,met,trnagly_c,trnagly_c,id in bigg,,,,
