type	id_in_tp	id_in_bigg	new_id	descripation	old_bigg_ids	feature_tp	feature_bigg	diff	notes
met	2pg_c	2pg_c		id in bigg					
met	btn_p	btn_p		id in bigg					
met	flxr_c	flxr_c		id in bigg					
met	pg160_p	pg160_p		id in bigg					
met	hxcoa_c	hxcoa_c		id in bigg					
met	but_c	but_c		id in bigg					
met	6hmhpt_c	6hmhpt_c		id in bigg					
met	udpg_c	udpg_c		id in bigg					
met	pi_p	pi_p		id in bigg					
met	thr__L_c	thr__L_c		id in bigg					
met	LalaDgluMdapDala_p	LalaDgluMdapDala_p		id in bigg					
met	oxalcoa_c	oxalcoa_c		id in bigg					
met	mchtbs6p_c	mchtbs6p_c		id in bigg					
met	fe3dhbzs_e	fe3dhbzs_e		id in bigg					
met	fe3dhbzs3_c	fe3dhbzs3_c		id in bigg					
met	fe3_c	fe3_c		id in bigg					
met	1agpg140_p	1agpg140_p		id in bigg					
met	ppbng_c	ppbng_c		id in bigg					
met	dgmp_c	dgmp_c		id in bigg					
met	dhps_e	dhps_e		id in bigg					
met	2ddg6p_c	2ddg6p_c		id in bigg					
met	hmbil_c	hmbil_c		id in bigg					
met	xylu__L_e	xylu__L_e		id in bigg					
met	2ddecg3p_c	2ddecg3p_c		id in bigg					
met	oxur_c	oxur_c		id in bigg					
met	prlp_c	prlp_c		id in bigg					
met	uLa4n_c	uLa4n_c		id in bigg					
met	3ocddec5eACP_c	3ocddec5eACP_c		id in bigg					
met	h2s_c	h2s_c		id in bigg					
met	nh4_p	nh4_p		id in bigg					
met	dump_e	dump_e		id in bigg					
met	idon__L_p	idon__L_p		id in bigg					
met	zn2_p	zn2_p		id in bigg					
met	nadh_c	nadh_c		id in bigg					
met	gal_c	gal_c		id in bigg					
met	fald_c	fald_c		id in bigg					
met	cobalt2_p	cobalt2_p		id in bigg					
met	gtp_c	gtp_c		id in bigg					
met	cpe180_c	cpe180_c		id in bigg					
met	dkdglcn_c	dkdglcn_c		id in bigg					
met	akg_e	akg_e		id in bigg					
met	pa141_p	pa141_p		id in bigg					
met	but2eACP_c	but2eACP_c		id in bigg					
met	myrsACP_c	myrsACP_c		id in bigg					
met	hexACP_c	hexACP_c		id in bigg					
met	urea_e	urea_e		id in bigg					
met	LalaDglu_p	LalaDglu_p		id in bigg					
met	doxrbcn_e	doxrbcn_e		id in bigg					
met	dhna_c	dhna_c		id in bigg					
met	rephaccoa_c	rephaccoa_c		id in bigg					
met	fgam_c	fgam_c		id in bigg					
met	mpt_c	mpt_c		id in bigg					
met	mincyc_e	mincyc_e		id in bigg					
met	dhptd_c	dhptd_c		id in bigg					
met	mththf_p	mththf_p		id in bigg					
met	udpg_e	udpg_e		id in bigg					
met	acnam_e	acnam_e		id in bigg					
met	glu__D_c	glu__D_c		id in bigg					
met	3hocoa_c	3hocoa_c		id in bigg					
met	sel_e	sel_e		id in bigg					
met	glc__D_e	glc__D_e		id in bigg					
met	pppn_c	pppn_c		id in bigg					
met	no2_e	no2_e		id in bigg					
met	atp_c	atp_c		id in bigg					
met	iscu_2fe2s2_c	iscu_2fe2s2_c		id in bigg					
met	db4p_c	db4p_c		id in bigg					
met	lac__L_p	lac__L_p		id in bigg					
met	23cgmp_e	23cgmp_e		id in bigg					
met	ttdcea_e	ttdcea_e		id in bigg					
met	pydxn_c	pydxn_c		id in bigg					
met	23dhacoa_c	23dhacoa_c		id in bigg					
met	cys__L_e	cys__L_e		id in bigg					
met	metsox_R__L_c	metsox_R__L_c		id in bigg					
met	hkndd_c	hkndd_c		id in bigg					
met	gmhep7p_c	gmhep7p_c		id in bigg					
met	hg2_p	hg2_p		id in bigg					
met	dhpmp_c	dhpmp_c		id in bigg					
met	alltn_p	alltn_p		id in bigg					
met	dtmp_c	dtmp_c		id in bigg					
met	pgp140_c	pgp140_c		id in bigg					
met	2aobut_c	2aobut_c		id in bigg					
met	ap4a_c	ap4a_c		id in bigg					
met	hlipa_c	hlipa_c		id in bigg					
met	ctp_c	ctp_c		id in bigg					
met	fecrm_un_e	fecrm_un_e		id in bigg					
met	acgam1p_c	acgam1p_c		id in bigg					
met	o2s_c	o2s_c		id in bigg					
met	gmplys_c	gmplys_c		id in bigg					
met	phthr_c	phthr_c		id in bigg					
met	cur_c	cur_c		id in bigg					
met	12ppd__S_e	12ppd__S_e		id in bigg					
met	gtp_p	gtp_p		id in bigg					
met	lipa_cold_p	lipa_cold_p		id in bigg					
met	1hdecg3p_c	1hdecg3p_c		id in bigg					
met	dhcholn_c	dhcholn_c		id in bigg					
met	betald_c	betald_c		id in bigg					
met	gsn_c	gsn_c		id in bigg					
met	2pglyc_c	2pglyc_c		id in bigg					
met	hdcoa_c	hdcoa_c		id in bigg					
