type	id_in_tp	id_in_bigg	new_id	descripation	old_bigg_ids	feature_tp	feature_bigg	diff	notes
met	man6p_p	man6p_p		id in bigg					
met	dtdp4d6dm_c	dtdp4d6dm_c		id in bigg					
met	pg140_p	pg140_p		id in bigg					
met	3hpppn_p	3hpppn_p		id in bigg					
met	lyx__L_c	lyx__L_c		id in bigg					
met	h2o2_e	h2o2_e		id in bigg					
met	cbl1_p	cbl1_p		id in bigg					
met	trdox_c	trdox_c		id in bigg					
met	thm_e	thm_e		id in bigg					
met	chtbs_e	chtbs_e		id in bigg					
met	ttrcyc_p	ttrcyc_p		id in bigg					
met	zn2_e	zn2_e		id in bigg					
met	1odecg3p_p	1odecg3p_p		id in bigg					
met	25dkglcn_c	25dkglcn_c		id in bigg					
met	lac__L_e	lac__L_e		id in bigg					
met	cys__D_c	cys__D_c		id in bigg					
met	pep_c	pep_c		id in bigg					
met	feenter_e	feenter_e		id in bigg					
met	g3pe_c	g3pe_c		id in bigg					
met	pe161_c	pe161_c		id in bigg					
met	tddec2eACP_c	tddec2eACP_c		id in bigg					
met	arbtn_fe3_e	arbtn_fe3_e		id in bigg					
met	for_e	for_e		id in bigg					
met	ca2_p	ca2_p		id in bigg					
met	ppal_e	ppal_e		id in bigg					
met	glyc3p_e	glyc3p_e		id in bigg					
met	3hoctACP_c	3hoctACP_c		id in bigg					
met	td2coa_c	td2coa_c		id in bigg					
met	thcur_c	thcur_c		id in bigg					
met	cit_e	cit_e		id in bigg					
met	ascb6p_c	ascb6p_c		id in bigg					
met	xu5p__D_c	xu5p__D_c		id in bigg					
met	g3pg_p	g3pg_p		id in bigg					
met	2agpe141_p	2agpe141_p		id in bigg					
met	iscu_2fe2s_c	iscu_2fe2s_c		id in bigg					
met	amp_p	amp_p		id in bigg					
met	oxam_c	oxam_c		id in bigg					
met	3oddcoa_c	3oddcoa_c		id in bigg					
met	ptrc_e	ptrc_e		id in bigg					
met	cellb_e	cellb_e		id in bigg					
met	gfgaragund_c	gfgaragund_c		id in bigg					
met	tagdp__D_c	tagdp__D_c		id in bigg					
met	ps120_c	ps120_c		id in bigg					
met	butACP_c	butACP_c		id in bigg					
met	gbbtn_p	gbbtn_p		id in bigg					
met	moadcosh_c	moadcosh_c		id in bigg					
met	all__D_c	all__D_c		id in bigg					
met	12dgr140_p	12dgr140_p		id in bigg					
met	glyb_e	glyb_e		id in bigg					
met	ch4_c	ch4_c		id in bigg					
met	sla_c	sla_c		id in bigg					
met	uLa4n_p	uLa4n_p		id in bigg					
met	sf_c	sf_c		id in bigg					
met	alaala_p	alaala_p		id in bigg					
met	murein5px4p_p	murein5px4p_p		id in bigg					
met	histd_c	histd_c		id in bigg					
met	trp__L_e	trp__L_e		id in bigg					
met	14glucan_c	14glucan_c		id in bigg					
met	3hppnl_c	3hppnl_c		id in bigg					
met	coa_c	coa_c		id in bigg					
met	ocdceap_c	ocdceap_c		id in bigg					
met	icit_c	icit_c		id in bigg					
met	6hmhptpp_c	6hmhptpp_c		id in bigg					
met	mg2_c	mg2_c		id in bigg					
met	glcn_c	glcn_c		id in bigg					
met	acg5sa_c	acg5sa_c		id in bigg					
met	acmanap_c	acmanap_c		id in bigg					
met	g3p_c	g3p_c		id in bigg					
met	12dgr120_p	12dgr120_p		id in bigg					
met	pa140_p	pa140_p		id in bigg					
met	1tdec7eg3p_c	1tdec7eg3p_c		id in bigg					
met	ps160_c	ps160_c		id in bigg					
met	fe3_e	fe3_e		id in bigg					
met	cm_e	cm_e		id in bigg					
met	gln__L_p	gln__L_p		id in bigg					
met	2agpg141_c	2agpg141_c		id in bigg					
met	pydxn_e	pydxn_e		id in bigg					
met	man_p	man_p		id in bigg					
met	12dgr120_c	12dgr120_c		id in bigg					
met	dcacoa_c	dcacoa_c		id in bigg					
met	ppt_p	ppt_p		id in bigg					
met	maltpt_e	maltpt_e		id in bigg					
met	tmrs2eACP_c	tmrs2eACP_c		id in bigg					
met	dxylnt_e	dxylnt_e		id in bigg					
met	minohp_e	minohp_e		id in bigg					
met	pe120_p	pe120_p		id in bigg					
met	lyx__L_p	lyx__L_p		id in bigg					
met	ade_e	ade_e		id in bigg					
met	4mop_c	4mop_c		id in bigg					
met	ins_p	ins_p		id in bigg					
met	mal__D_p	mal__D_p		id in bigg					
met	glu5p_c	glu5p_c		id in bigg					
met	agm_p	agm_p		id in bigg					
met	sfp_c	sfp_c		id in bigg					
met	man6p_e	man6p_e		id in bigg					
met	ichor_c	ichor_c		id in bigg					
met	pa120_c	pa120_c		id in bigg					
met	moadcoo_c	moadcoo_c		id in bigg					
met	isetac_e	isetac_e		id in bigg					
met	val__L_c	val__L_c		id in bigg					
met	o2s_p	o2s_p		id in bigg					
met	arg__L_c	arg__L_c		id in bigg					
met	dcmp_e	dcmp_e		id in bigg					
met	indole_e	indole_e		id in bigg					
met	all__D_e	all__D_e		id in bigg					
met	apg181_c	apg181_c		id in bigg					
met	psclys_c	psclys_c		id in bigg					
met	sq_p	sq_p		id in bigg					
met	frdp_c	frdp_c		id in bigg					
met	fru_c	fru_c		id in bigg					
met	thmpp_c	thmpp_c		id in bigg					
met	na1_p	na1_p		id in bigg					
met	3omrsACP_c	3omrsACP_c		id in bigg					
met	aso3_e	aso3_e		id in bigg					
met	dhptdp_c	dhptdp_c		id in bigg					
met	ggbutal_c	ggbutal_c		id in bigg					
met	tmao_e	tmao_e		id in bigg					
met	murein5px3p_p	murein5px3p_p		id in bigg					
met	arab__D_c	arab__D_c		id in bigg					
met	acanth_c	acanth_c		id in bigg					
met	iasp_c	iasp_c		id in bigg					
met	dtdp4aaddg_c	dtdp4aaddg_c		id in bigg					
met	h2o_p	h2o_p		id in bigg					
met	unagamuf_c	unagamuf_c		id in bigg					
met	pydx5p_c	pydx5p_c		id in bigg					
met	clpn180_p	clpn180_p		id in bigg					
met	udpgal_p	udpgal_p		id in bigg					
met	lipidX_c	lipidX_c		id in bigg					
met	ttdca_c	ttdca_c		id in bigg					
met	ala__L_c	ala__L_c		id in bigg					
met	hhlipa_c	hhlipa_c		id in bigg					
met	melib_e	melib_e		id in bigg					
met	glcur1p_e	glcur1p_e		id in bigg					
met	butso3_c	butso3_c		id in bigg					
met	hcys__L_c	hcys__L_c		id in bigg					
met	S2hglut_c	S2hglut_c		id in bigg					
met	2agpe120_p	2agpe120_p		id in bigg					
met	o2_p	o2_p		id in bigg					
met	ragund_c	ragund_c		id in bigg					
met	lipa_cold_c	lipa_cold_c		id in bigg					
met	4abut_c	4abut_c		id in bigg					
met	gly_p	gly_p		id in bigg					
met	4mpetz_c	4mpetz_c		id in bigg					
met	fald_e	fald_e		id in bigg					
met	pgp141_p	pgp141_p		id in bigg					
met	mththf_c	mththf_c		id in bigg					
met	lgt__S_c	lgt__S_c		id in bigg					
met	galur_e	galur_e		id in bigg					
met	xyl__D_p	xyl__D_p		id in bigg					
met	csn_c	csn_c		id in bigg					
met	ampnt_c	ampnt_c		id in bigg					
met	altrn_c	altrn_c		id in bigg					
met	sel_c	sel_c		id in bigg					
met	fc1p_c	fc1p_c		id in bigg					
met	lcts_p	lcts_p		id in bigg					
met	udpacgal_p	udpacgal_p		id in bigg					
met	5dh4dglc_c	5dh4dglc_c		id in bigg					
met	argsuc_c	argsuc_c		id in bigg					
met	udpLa4n_c	udpLa4n_c		id in bigg					
met	orn_e	orn_e		id in bigg					
met	cdp_c	cdp_c		id in bigg					
met	orot5p_c	orot5p_c		id in bigg					
met	ppp9_c	ppp9_c		id in bigg					
met	asp__L_p	asp__L_p		id in bigg					
met	nadhx__S_c	nadhx__S_c		id in bigg					
met	dtdpglu_c	dtdpglu_c		id in bigg					
met	clpn161_p	clpn161_p		id in bigg					
met	adn_p	adn_p		id in bigg					
met	ser__L_p	ser__L_p		id in bigg					
met	3ooctdACP_c	3ooctdACP_c		id in bigg					
met	uamag_c	uamag_c		id in bigg					
met	cobalt2_e	cobalt2_e		id in bigg					
met	g6p_p	g6p_p		id in bigg					
met	sufse_c	sufse_c		id in bigg					
met	orn_c	orn_c		id in bigg					
met	man_c	man_c		id in bigg					
met	3hcddec5eACP_c	3hcddec5eACP_c		id in bigg					
met	but_e	but_e		id in bigg					
met	thrp_e	thrp_e		id in bigg					
met	thr__L_p	thr__L_p		id in bigg					
met	mn2_p	mn2_p		id in bigg					
met	14glucan_e	14glucan_e		id in bigg					
met	12dgr161_c	12dgr161_c		id in bigg					
met	indole_p	indole_p		id in bigg					
met	uri_p	uri_p		id in bigg					
met	no_e	no_e		id in bigg					
met	pgp160_c	pgp160_c		id in bigg					
met	lpp_p	lpp_p		id in bigg					
met	dhps_c	dhps_c		id in bigg					
met	2agpe181_c	2agpe181_c		id in bigg					
met	sbt__D_p	sbt__D_p		id in bigg					
met	co2_c	co2_c		id in bigg					
met	gthrd_p	gthrd_p		id in bigg					
met	clpn181_p	clpn181_p		id in bigg					
met	sbt__D_e	sbt__D_e		id in bigg					
met	4adcho_c	4adcho_c		id in bigg					
met	nmn_p	nmn_p		id in bigg					
met	acmana_c	acmana_c		id in bigg					
met	pg180_p	pg180_p		id in bigg					
met	pe141_p	pe141_p		id in bigg					
met	athtp_c	athtp_c		id in bigg					
met	cys__D_p	cys__D_p		id in bigg					
met	imp_e	imp_e		id in bigg					
met	4hoxpacd_e	4hoxpacd_e		id in bigg					
met	appl_c	appl_c		id in bigg					
met	uri_c	uri_c		id in bigg					
met	23dhmb_c	23dhmb_c		id in bigg					
met	gthox_e	gthox_e		id in bigg					
met	galur_p	galur_p		id in bigg					
met	udpglcur_c	udpglcur_c		id in bigg					
met	ile__L_c	ile__L_c		id in bigg					
met	dmbzid_c	dmbzid_c		id in bigg					
met	3hcpalm9eACP_c	3hcpalm9eACP_c		id in bigg					
met	pmeACP_c	pmeACP_c		id in bigg					
met	btn_e	btn_e		id in bigg					
met	r1p_c	r1p_c		id in bigg					
met	murein4px4p4p_p	murein4px4p4p_p		id in bigg					
met	dha_e	dha_e		id in bigg					
met	ptrc_c	ptrc_c		id in bigg					
met	e4p_c	e4p_c		id in bigg					
met	gam_c	gam_c		id in bigg					
met	octapb_c	octapb_c		id in bigg					
met	2agpg141_p	2agpg141_p		id in bigg					
met	pa181_p	pa181_p		id in bigg					
met	pac_c	pac_c		id in bigg					
met	3sala_c	3sala_c		id in bigg					
met	13ppd_c	13ppd_c		id in bigg					
met	octa_e	octa_e		id in bigg					
met	trp__L_c	trp__L_c		id in bigg					
met	5pg35pg_c	5pg35pg_c		id in bigg					
met	glyc__R_c	glyc__R_c		id in bigg					
met	aragund_c	aragund_c		id in bigg					
met	ni2_e	ni2_e		id in bigg					
met	mal__L_p	mal__L_p		id in bigg					
met	tartr__D_p	tartr__D_p		id in bigg					
met	3ump_e	3ump_e		id in bigg					
met	mso3_e	mso3_e		id in bigg					
met	maltttr_p	maltttr_p		id in bigg					
met	ppa_e	ppa_e		id in bigg					
met	aps_c	aps_c		id in bigg					
met	cyan_c	cyan_c		id in bigg					
met	uLa4fn_c	uLa4fn_c		id in bigg					
met	ggptrc_c	ggptrc_c		id in bigg					
met	4hbz_c	4hbz_c		id in bigg					
met	2tpr3dpcoa_c	2tpr3dpcoa_c		id in bigg					
met	acglu_c	acglu_c		id in bigg					
met	oaa_c	oaa_c		id in bigg					
met	hemeO_c	hemeO_c		id in bigg					
met	ump_e	ump_e		id in bigg					
met	fad_c	fad_c		id in bigg					
met	isetac_p	isetac_p		id in bigg					
met	udpacgal_e	udpacgal_e		id in bigg					
met	pydam_e	pydam_e		id in bigg					
met	o16aund_c	o16aund_c		id in bigg					
met	udcpp_c	udcpp_c		id in bigg					
met	malt6p_c	malt6p_c		id in bigg					
met	udpLa4fn_c	udpLa4fn_c		id in bigg					
met	sucarg_c	sucarg_c		id in bigg					
met	puacgam_p	puacgam_p		id in bigg					
met	enter_c	enter_c		id in bigg					
met	alaala_c	alaala_c		id in bigg					
met	3ocvac11eACP_c	3ocvac11eACP_c		id in bigg					
met	r15bp_c	r15bp_c		id in bigg					
met	dcyt_e	dcyt_e		id in bigg					
met	toct2eACP_c	toct2eACP_c		id in bigg					
met	cynt_e	cynt_e		id in bigg					
met	gbbtn_c	gbbtn_c		id in bigg					
met	crn__D_c	crn__D_c		id in bigg					
met	trdrd_c	trdrd_c		id in bigg					
met	ca2_c	ca2_c		id in bigg					
met	agdpcbi_c	agdpcbi_c		id in bigg					
met	mana_c	mana_c		id in bigg					
met	gthrd_c	gthrd_c		id in bigg					
met	2dhp_c	2dhp_c		id in bigg					
met	sel_p	sel_p		id in bigg					
met	novbcn_p	novbcn_p		id in bigg					
met	wco_c	wco_c		id in bigg					
met	malcoa_c	malcoa_c		id in bigg					
met	gam_e	gam_e		id in bigg					
met	f6p_e	f6p_e		id in bigg					
met	3ohdcoa_c	3ohdcoa_c		id in bigg					
met	glu__L_p	glu__L_p		id in bigg					
met	icolipa_c	icolipa_c		id in bigg					
met	h2o_c	h2o_c		id in bigg					
met	ctbt_c	ctbt_c		id in bigg					
met	adocbl_p	adocbl_p		id in bigg					
met	ethso3_e	ethso3_e		id in bigg					
met	bwco1gdp_c	bwco1gdp_c		id in bigg					
met	cholate_p	cholate_p		id in bigg					
met	dudp_c	dudp_c		id in bigg					
met	1agpe141_p	1agpe141_p		id in bigg					
met	dtdprmn_c	dtdprmn_c		id in bigg					
met	g1p_p	g1p_p		id in bigg					
met	mmet_e	mmet_e		id in bigg					
met	pgp160_p	pgp160_p		id in bigg					
met	cd2_c	cd2_c		id in bigg					
met	udpgalfur_c	udpgalfur_c		id in bigg					
met	cs1_e	cs1_e		id in bigg					
met	sucsal_c	sucsal_c		id in bigg					
met	k_p	k_p		id in bigg					
met	ala_B_e	ala_B_e		id in bigg					
met	3hddecACP_c	3hddecACP_c		id in bigg					
met	3gmp_e	3gmp_e		id in bigg					
met	adn_e	adn_e		id in bigg					
met	preq1_c	preq1_c		id in bigg					
met	glcur_e	glcur_e		id in bigg					
met	pheme_e	pheme_e		id in bigg					
met	23dappa_e	23dappa_e		id in bigg					
met	malt_p	malt_p		id in bigg					
met	ddca_p	ddca_p		id in bigg					
met	udp_c	udp_c		id in bigg					
met	imacp_c	imacp_c		id in bigg					
met	sucgsa_c	sucgsa_c		id in bigg					
met	fald_p	fald_p		id in bigg					
met	2agpg181_p	2agpg181_p		id in bigg					
met	dgmp_p	dgmp_p		id in bigg					
met	ser__L_e	ser__L_e		id in bigg					
met	pacald_e	pacald_e		id in bigg					
met	fuc__L_c	fuc__L_c		id in bigg					
met	lyx__L_e	lyx__L_e		id in bigg					
met	acglc__D_c	acglc__D_c		id in bigg					
met	tym_p	tym_p		id in bigg					
met	f6p_p	f6p_p		id in bigg					
met	lys__L_p	lys__L_p		id in bigg					
met	actACP_c	actACP_c		id in bigg					
met	gsn_p	gsn_p		id in bigg					
met	arbtn_c	arbtn_c		id in bigg					
met	2agpe140_c	2agpe140_c		id in bigg					
met	akg_c	akg_c		id in bigg					
met	2ippm_c	2ippm_c		id in bigg					
met	taur_e	taur_e		id in bigg					
met	5caiz_c	5caiz_c		id in bigg					
met	dhap_c	dhap_c		id in bigg					
met	lys__L_c	lys__L_c		id in bigg					
met	acald_e	acald_e		id in bigg					
met	rdmbzi_c	rdmbzi_c		id in bigg					
met	cinnm_c	cinnm_c		id in bigg					
met	his__L_p	his__L_p		id in bigg					
met	sufsesh_c	sufsesh_c		id in bigg					
met	acald_c	acald_c		id in bigg					
met	h2o_e	h2o_e		id in bigg					
met	glcur_p	glcur_p		id in bigg					
met	for_c	for_c		id in bigg					
met	xtsn_p	xtsn_p		id in bigg					
met	suchms_c	suchms_c		id in bigg					
met	datp_c	datp_c		id in bigg					
met	mteo2_c	mteo2_c		id in bigg					
met	gal1p_p	gal1p_p		id in bigg					
met	glyb_c	glyb_c		id in bigg					
met	56dura_c	56dura_c		id in bigg					
met	mqn8_c	mqn8_c		id in bigg					
met	no2_c	no2_c		id in bigg					
met	oxadpcoa_c	oxadpcoa_c		id in bigg					
met	murein4p3p_p	murein4p3p_p		id in bigg					
met	thym_c	thym_c		id in bigg					
met	cdpdhdecg_c	cdpdhdecg_c		id in bigg					
met	12dgr181_c	12dgr181_c		id in bigg					
met	ahdt_c	ahdt_c		id in bigg					
met	ugmda_c	ugmda_c		id in bigg					
met	thptdn_c	thptdn_c		id in bigg					
met	ump_c	ump_c		id in bigg					
met	ctbt_p	ctbt_p		id in bigg					
met	prpmn_c	prpmn_c		id in bigg					
met	tsul_c	tsul_c		id in bigg					
met	frulysp_c	frulysp_c		id in bigg					
met	butso3_p	butso3_p		id in bigg					
met	duri_e	duri_e		id in bigg					
met	sarcs_c	sarcs_c		id in bigg					
met	tre_c	tre_c		id in bigg					
met	ametam_c	ametam_c		id in bigg					
met	2agpe160_c	2agpe160_c		id in bigg					
met	iprimv_c	iprimv_c		id in bigg					
met	2agpe120_c	2agpe120_c		id in bigg					
met	arbtn_e	arbtn_e		id in bigg					
met	q8h2_c	q8h2_c		id in bigg					
met	din_e	din_e		id in bigg					
met	acgal_p	acgal_p		id in bigg					
met	mincyc_p	mincyc_p		id in bigg					
met	nadp_c	nadp_c		id in bigg					
met	hisp_c	hisp_c		id in bigg					
met	dcmp_p	dcmp_p		id in bigg					
met	2agpg180_c	2agpg180_c		id in bigg					
met	1tdecg3p_p	1tdecg3p_p		id in bigg					
met	ghb_c	ghb_c		id in bigg					
met	phe__L_c	phe__L_c		id in bigg					
met	cpg180_c	cpg180_c		id in bigg					
met	xan_p	xan_p		id in bigg					
met	dhgly_c	dhgly_c		id in bigg					
met	2agpe181_p	2agpe181_p		id in bigg					
met	pa140_c	pa140_c		id in bigg					
met	pdx5p_c	pdx5p_c		id in bigg					
met	galctn__D_e	galctn__D_e		id in bigg					
met	tdcoa_c	tdcoa_c		id in bigg					
met	apg141_c	apg141_c		id in bigg					
met	4h2opntn_c	4h2opntn_c		id in bigg					
met	5aop_c	5aop_c		id in bigg					
met	thr__L_e	thr__L_e		id in bigg					
met	cellb_p	cellb_p		id in bigg					
met	gly_c	gly_c		id in bigg					
met	rhcys_c	rhcys_c		id in bigg					
met	malthx_e	malthx_e		id in bigg					
met	ethso3_p	ethso3_p		id in bigg					
met	lkdr_c	lkdr_c		id in bigg					
met	ttdca_e	ttdca_e		id in bigg					
met	adocbip_c	adocbip_c		id in bigg					
met	his__L_c	his__L_c		id in bigg					
met	fad_p	fad_p		id in bigg					
met	dtmp_e	dtmp_e		id in bigg					
met	gua_e	gua_e		id in bigg					
met	cytd_p	cytd_p		id in bigg					
met	his__L_e	his__L_e		id in bigg					
met	thymd_p	thymd_p		id in bigg					
met	2fe1s_c	2fe1s_c		id in bigg					
met	3odecACP_c	3odecACP_c		id in bigg					
met	unaga_c	unaga_c		id in bigg					
met	pser__L_e	pser__L_e		id in bigg					
met	udcpdp_p	udcpdp_p		id in bigg					
met	gal1p_e	gal1p_e		id in bigg					
met	frulys_c	frulys_c		id in bigg					
met	cu2_c	cu2_c		id in bigg					
met	didp_c	didp_c		id in bigg					
met	cytd_e	cytd_e		id in bigg					
met	h2o2_p	h2o2_p		id in bigg					
met	dtmp_p	dtmp_p		id in bigg					
met	ppap_c	ppap_c		id in bigg					
met	dc2coa_c	dc2coa_c		id in bigg					
met	fe2_e	fe2_e		id in bigg					
met	utp_c	utp_c		id in bigg					
met	seramp_c	seramp_c		id in bigg					
met	idon__L_e	idon__L_e		id in bigg					
met	gtspmd_c	gtspmd_c		id in bigg					
met	zn2_c	zn2_c		id in bigg					
met	egmeACP_c	egmeACP_c		id in bigg					
met	2dhguln_c	2dhguln_c		id in bigg					
met	4ampm_c	4ampm_c		id in bigg					
met	glycogen_c	glycogen_c		id in bigg					
met	ddcap_c	ddcap_c		id in bigg					
met	arbt_e	arbt_e		id in bigg					
met	rbl__D_c	rbl__D_c		id in bigg					
met	mepn_p	mepn_p		id in bigg					
met	23dappa_c	23dappa_c		id in bigg					
met	cd2_e	cd2_e		id in bigg					
met	ara5p_c	ara5p_c		id in bigg					
met	murein4p4p_p	murein4p4p_p		id in bigg					
met	iscu_c	iscu_c		id in bigg					
met	mnl_p	mnl_p		id in bigg					
met	chol_c	chol_c		id in bigg					
met	so4_p	so4_p		id in bigg					
met	nh4_e	nh4_e		id in bigg					
met	indole_c	indole_c		id in bigg					
met	dutp_c	dutp_c		id in bigg					
met	dtdp4d6dg_c	dtdp4d6dg_c		id in bigg					
met	23dhba_c	23dhba_c		id in bigg					
met	3otdcoa_c	3otdcoa_c		id in bigg					
met	ocdca_p	ocdca_p		id in bigg					
met	4hoxpacd_p	4hoxpacd_p		id in bigg					
met	succ_p	succ_p		id in bigg					
met	rib__D_c	rib__D_c		id in bigg					
met	ins_e	ins_e		id in bigg					
met	but_p	but_p		id in bigg					
met	colipa_e	colipa_e		id in bigg					
met	thm_c	thm_c		id in bigg					
met	xu5p__L_c	xu5p__L_c		id in bigg					
met	2mcacn_c	2mcacn_c		id in bigg					
met	gly_e	gly_e		id in bigg					
met	23ccmp_p	23ccmp_p		id in bigg					
met	maltttr_c	maltttr_c		id in bigg					
met	fum_c	fum_c		id in bigg					
met	g3pc_e	g3pc_e		id in bigg					
met	ggagicolipa_c	ggagicolipa_c		id in bigg					
met	2dglc_p	2dglc_p		id in bigg					
met	23doguln_p	23doguln_p		id in bigg					
met	dxylnt_c	dxylnt_c		id in bigg					
met	nicrnt_c	nicrnt_c		id in bigg					
met	ps180_c	ps180_c		id in bigg					
met	pe181_c	pe181_c		id in bigg					
met	dsbdox_c	dsbdox_c		id in bigg					
met	pe140_c	pe140_c		id in bigg					
met	sufbcd_c	sufbcd_c		id in bigg					
met	dgdp_c	dgdp_c		id in bigg					
met	gthox_c	gthox_c		id in bigg					
met	dgtp_c	dgtp_c		id in bigg					
met	quin_p	quin_p		id in bigg					
met	3hcinnm_p	3hcinnm_p		id in bigg					
met	stcoa_c	stcoa_c		id in bigg					
met	12dgr140_c	12dgr140_c		id in bigg					
met	3ump_p	3ump_p		id in bigg					
met	eca2und_p	eca2und_p		id in bigg					
met	t3c9palmeACP_c	t3c9palmeACP_c		id in bigg					
met	ethso3_c	ethso3_c		id in bigg					
met	g3ps_c	g3ps_c		id in bigg					
met	LalaDgluMdap_c	LalaDgluMdap_c		id in bigg					
met	fe3dcit_e	fe3dcit_e		id in bigg					
met	rfamp_e	rfamp_e		id in bigg					
met	cd2_p	cd2_p		id in bigg					
met	succoa_c	succoa_c		id in bigg					
met	succ_c	succ_c		id in bigg					
met	2dr5p_c	2dr5p_c		id in bigg					
met	etoh_p	etoh_p		id in bigg					
met	uama_c	uama_c		id in bigg					
met	opmeACP_c	opmeACP_c		id in bigg					
met	met__L_c	met__L_c		id in bigg					
met	pheme_p	pheme_p		id in bigg					
met	acgam_p	acgam_p		id in bigg					
met	adocbi_c	adocbi_c		id in bigg					
met	3c2hmp_c	3c2hmp_c		id in bigg					
met	pacald_c	pacald_c		id in bigg					
met	agm_c	agm_c		id in bigg					
met	5phdt_c	5phdt_c		id in bigg					
met	3php_c	3php_c		id in bigg					
