,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature1,feature2,other
0,rea,3MBALt,3MBALt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
1,rea,AICART,AICART,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
2,rea,ALATA_L,ALATA_L,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
3,rea,ARAI,ARAI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
4,rea,ASPR,ASPR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
5,rea,ASPTA,ASPTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
6,rea,BZALt,BZALt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
7,rea,DIACTt,DIACTt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
8,rea,ENO,ENO,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
9,rea,FUM,FUM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
10,rea,GLUR,GLUR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
11,rea,GLYCt,GLYCt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
12,rea,HCO3E,HCO3E,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
13,rea,PACALDt,PACALDt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
14,rea,PEAt,PEAt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
15,rea,PGAMT,PGAMT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
16,rea,PGMT,PGMT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
17,rea,PMANM,PMANM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
18,rea,PPM2,PPM2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
19,rea,PRMICI,PRMICI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
20,rea,RBP4E,RBP4E,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
21,rea,RPE,RPE,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
22,rea,RPI,RPI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
23,rea,TPI,TPI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
24,rea,UAG2E,UAG2E,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
25,rea,UDPG4E,UDPG4E,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
26,rea,ABTA,ABTA,id in bigg(id in bigg),,,,
27,rea,ACGAMT,ACGAMT,id in bigg(id in bigg),,,,
28,rea,ADA,ADA,id in bigg(id in bigg),,,,
29,rea,ADD,ADD,id in bigg(id in bigg),,,,
30,rea,ASPT,ASPT,id in bigg(id in bigg),,,,
31,rea,CAT,CAT,id in bigg(id in bigg),,,,
32,rea,CHORM,CHORM,id in bigg(id in bigg),,,,
33,rea,CHORS,CHORS,id in bigg(id in bigg),,,,
34,rea,CSND,CSND,id in bigg(id in bigg),,,,
35,rea,DHPTDCs,DHPTDCs,id in bigg(id in bigg),,,,
36,rea,DHQS,DHQS,id in bigg(id in bigg),,,,
37,rea,DRPA,DRPA,id in bigg(id in bigg),,,,
38,rea,HISTP,HISTP,id in bigg(id in bigg),,,,
39,rea,PDE3,PDE3,id in bigg(id in bigg),,,,
40,rea,THRS,THRS,id in bigg(id in bigg),,,,
41,rea,TMPPP,TMPPP,id in bigg(id in bigg),,,,
42,rea,UDCPDPS,UDCPDPS,id in bigg(id in bigg),,,,
43,rea,UDPGALM,UDPGALM,id in bigg(id in bigg),,,,
44,rea,2HXICDH,2HXICDH,id in bigg(mets different),,4mop_c + h_c + nadh_c <=> 2hxic__L_c + nad_c,4mop_c + h_c + nadh_c --> 2hxic__L_c + nad_c,
45,rea,2MBALDH,2MBALDH,id in bigg(mets different),,2mbal_c + h2o_c + nad_c <=> 2mba_c + 2.0 h_c + nadh_c,2mbald_c + h2o_c + nad_c --> 2mba_c + 2.0 h_c + nadh_c,
46,rea,2MBAt6,2MBAt6,id in bigg(mets different),,2mba_c + h_c <=> 2mba_e + h_e,2mba_c + h_c --> 2mba_e + h_e,
47,rea,2MPAt6,2MPAt6,id in bigg(mets different),,h_c + isobut_c <=> h_e + isobut_e,2mpa_c + h_c --> 2mpa_e + h_e,
48,rea,3MBAt6,3MBAt6,id in bigg(mets different),,h_c + isoval_c <=> h_e + isoval_e,3mba_c + h_c --> 3mba_e + h_e,
49,rea,3MOBDC,3MOBDC,id in bigg(mets different),,3mob_c + h_c --> 2mpal_c + co2_c,3mob_c + h_c --> 2mppal_c + co2_c,
50,rea,3MOPDC,3MOPDC,id in bigg(mets different),,3mop_c + h_c --> 2mbal_c + co2_c,3mop_c + h_c --> 2mbald_c + co2_c,
51,rea,4MOPDC,4MOPDC,id in bigg(mets different),,4mop_c + h_c --> 3mbal_c + co2_c,4mop_c + h_c --> 3mbald_c + co2_c,
52,rea,AALDH,AALDH,id in bigg(mets different),,h_c + nadh_c + pacald_c <=> nad_c + pea_c,h_c + nadh_c + pacald_c --> nad_c + pea_c,
53,rea,ABUTt2r,ABUTt2r,id in bigg(mets different),,4abut_e + h_e <=> 4abut_c + h_c,4abut_e + h_e --> 4abut_c + h_c,
54,rea,ACALD,ACALD,id in bigg(mets different),,acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c,
55,rea,ACALDt,ACALDt,id in bigg(mets different),,acald_e <=> acald_c,acald_e --> acald_c,
56,rea,ACCOAC,ACCOAC,id in bigg(mets different),,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,
57,rea,ACGALpts,ACGALpts,id in bigg(mets different),,acgal_e + pep_c --> acgal6p_c + pyr_c,acgala_e + pep_c --> acgal6p_c + pyr_c,
58,rea,ACGApts,ACGApts,id in bigg(mets different),,acgam_e + pep_c --> acgam6p_c + pyr_c,acgam_e + pep_c --> acgam6p_c + pyr_c,
59,rea,ACGK,ACGK,id in bigg(mets different),,acglu_c + atp_c --> acg5p_c + adp_c,acglu_c + atp_c --> acg5p_c + adp_c,
60,rea,ACHBS,ACHBS,id in bigg(mets different),,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,
61,rea,ACKr,ACKr,id in bigg(mets different),,ac_c + atp_c <=> actp_c + adp_c,ac_c + atp_c --> actp_c + adp_c,
62,rea,ACLDC,ACLDC,id in bigg(mets different),,alac__S_c + h_c --> actn__R_c + co2_c,alac__S_c + h_c --> actn__R_c + co2_c,
63,rea,ACLS,ACLS,id in bigg(mets different),,h_c + 2.0 pyr_c --> alac__S_c + co2_c,h_c + 2.0 pyr_c --> alac__S_c + co2_c,
64,rea,ACNML,ACNML,id in bigg(mets different),,acnam_c --> acmana_c + pyr_c,acnam_c --> acmana_c + pyr_c,
65,rea,ACODA,ACODA,id in bigg(mets different),,acorn_c + h2o_c --> ac_c + orn__L_c,acorn_c + h2o_c --> ac_c + orn_c,
66,rea,ACOTA,ACOTA,id in bigg(mets different),,acorn_c + akg_c <=> acg5sa_c + glu__L_c,acorn_c + akg_c --> acg5sa_c + glu__L_c,
