,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature_tp,feature_bigg,other
120,met,udcpdp_c,udcpdp_c,id in bigg,,,,
121,met,3dhsk_c,3dhsk_c,id in bigg,,,,
122,met,pi_e,pi_e,id in bigg,,,,
123,met,5pmev_c,5pmev_c,id in bigg,,,,
124,met,malt_c,malt_c,id in bigg,,,,
125,met,pgp_LLA_c,pgp_LLA_c,id in bigg,,,,
126,met,octdp_c,octdp_c,id in bigg,,,,
127,met,ibcoa_c,ibcoa_c,id in bigg,,,,
128,met,glu__L_c,glu__L_c,id in bigg,,,,
129,met,aicar_c,aicar_c,id in bigg,,,,
130,met,3psme_c,3psme_c,id in bigg,,,,
131,met,gmp_c,gmp_c,id in bigg,,,,
132,met,acg5p_c,acg5p_c,id in bigg,,,,
133,met,tagur_c,tagur_c,id in bigg,,,,
134,met,acara_c,acara_c,id in bigg,,,,
135,met,rib__D_e,rib__D_e,id in bigg,,,,
136,met,trp__L_c,trp__L_c,id in bigg,,,,
137,met,datp_c,datp_c,id in bigg,,,,
138,met,glcn__D_e,glcn__D_e,id in bigg,,,,
139,met,diact_e,diact_e,id in bigg,,,,
140,met,gly_c,gly_c,id in bigg,,,,
141,met,ins_c,ins_c,id in bigg,,,,
142,met,ctp_c,ctp_c,id in bigg,,,,
143,met,4abut_e,4abut_e,id in bigg,,,,
144,met,fru_c,fru_c,id in bigg,,,,
145,met,icit_c,icit_c,id in bigg,,,,
146,met,glntrna_c,glntrna_c,id in bigg,,,,
147,met,o2_e,o2_e,id in bigg,,,,
148,met,2ahhmp_c,2ahhmp_c,id in bigg,,,,
149,met,actp_c,actp_c,id in bigg,,,,
150,met,trnacys_c,trnacys_c,id in bigg,,,,
151,met,prbamp_c,prbamp_c,id in bigg,,,,
152,met,2mbald_c,2mbald_c,id in bigg,,,,
153,met,acmalt_c,acmalt_c,id in bigg,,,,
154,met,malacp_c,malacp_c,id in bigg,,,,
155,met,nadh_c,nadh_c,id in bigg,,,,
156,met,3mba_e,3mba_e,id in bigg,,,,
157,met,2mpa_c,2mpa_c,id in bigg,,,,
158,met,gcald_e,gcald_e,id in bigg,,,,
159,met,25aics_c,25aics_c,id in bigg,,,,
160,met,2mahmp_c,2mahmp_c,id in bigg,,,,
161,met,eig3p_c,eig3p_c,id in bigg,,,,
162,met,mnl1p_c,mnl1p_c,id in bigg,,,,
163,met,his__L_e,his__L_e,id in bigg,,,,
164,met,acgam_c,acgam_c,id in bigg,,,,
165,met,suc6p_c,suc6p_c,id in bigg,,,,
166,met,protrna_c,protrna_c,id in bigg,,,,
167,met,for_e,for_e,id in bigg,,,,
168,met,g6p_B_c,g6p_B_c,id in bigg,,,,
169,met,4cml_c,4cml_c,id in bigg,,,,
170,met,ptrc_c,ptrc_c,id in bigg,,,,
171,met,udpglcur_c,udpglcur_c,id in bigg,,,,
172,met,mql7_c,mql7_c,id in bigg,,,,
173,met,gal_e,gal_e,id in bigg,,,,
174,met,uAgl_c,uAgl_c,id in bigg,,,,
175,met,glyald_c,glyald_c,id in bigg,,,,
176,met,mal__L_c,mal__L_c,id in bigg,,,,
177,met,fe3_e,fe3_e,id in bigg,,,,
178,met,butacp_c,butacp_c,id in bigg,,,,
179,met,dgmp_c,dgmp_c,id in bigg,,,,
180,met,xmp_c,xmp_c,id in bigg,,,,
181,met,RNA_LLA_c,RNA_LLA_c,id in bigg,,,,
182,met,met__D_e,met__D_e,id in bigg,,,,
183,met,dhnpt_c,dhnpt_c,id in bigg,,,,
184,met,rhcys_c,rhcys_c,id in bigg,,,,
185,met,nh4_e,nh4_e,id in bigg,,,,
186,met,dcamp_c,dcamp_c,id in bigg,,,,
187,met,LTAAlaGal_LLA_c,LTAAlaGal_LLA_c,id in bigg,,,,
188,met,2mbcoa_c,2mbcoa_c,id in bigg,,,,
189,met,pea_c,pea_c,id in bigg,,,,
190,met,2cocdacp_c,2cocdacp_c,id in bigg,,,,
191,met,cystrna_c,cystrna_c,id in bigg,,,,
192,met,3oxocdacp_c,3oxocdacp_c,id in bigg,,,,
193,met,gar_c,gar_c,id in bigg,,,,
194,met,13dpg_c,13dpg_c,id in bigg,,,,
195,met,trnaasn_c,trnaasn_c,id in bigg,,,,
196,met,3oxhdacp_c,3oxhdacp_c,id in bigg,,,,
197,met,dtdp4d6dm_c,dtdp4d6dm_c,id in bigg,,,,
198,met,hxan_e,hxan_e,id in bigg,,,,
199,met,2ctdeacp_c,2ctdeacp_c,id in bigg,,,,
200,met,trnatyr_c,trnatyr_c,id in bigg,,,,
201,met,hmgcoa_c,hmgcoa_c,id in bigg,,,,
202,met,thm_c,thm_c,id in bigg,,,,
203,met,3hhacp_c,3hhacp_c,id in bigg,,,,
204,met,h2o2_c,h2o2_c,id in bigg,,,,
205,met,cdpglyc_c,cdpglyc_c,id in bigg,,,,
206,met,lys__L_e,lys__L_e,id in bigg,,,,
207,met,ahcys_c,ahcys_c,id in bigg,,,,
208,met,ura_e,ura_e,id in bigg,,,,
209,met,pacald_e,pacald_e,id in bigg,,,,
210,met,thymd_c,thymd_c,id in bigg,,,,
211,met,pep_c,pep_c,id in bigg,,,,
212,met,argtrna_c,argtrna_c,id in bigg,,,,
213,met,dxyl5p_c,dxyl5p_c,id in bigg,,,,
214,met,glc__D_e,glc__D_e,id in bigg,,,,
215,met,g3pi_c,g3pi_c,id in bigg,,,,
216,met,g1p_B_c,g1p_B_c,id in bigg,,,,
217,met,glu5sa_c,glu5sa_c,id in bigg,,,,
218,met,duri_c,duri_c,id in bigg,,,,
219,met,ribflv_c,ribflv_c,id in bigg,,,,
220,met,maltpt_c,maltpt_c,id in bigg,,,,
221,met,4pasp_c,4pasp_c,id in bigg,,,,
222,met,nac_e,nac_e,id in bigg,,,,
223,met,coa_c,coa_c,id in bigg,,,,
224,met,uamr_c,uamr_c,id in bigg,,,,
225,met,tag6p__D_c,tag6p__D_c,id in bigg,,,,
226,met,iletrna_c,iletrna_c,id in bigg,,,,
227,met,23dhmb_c,23dhmb_c,id in bigg,,,,
228,met,salcn6p_c,salcn6p_c,id in bigg,,,,
229,met,dmpp_c,dmpp_c,id in bigg,,,,
230,met,ade_e,ade_e,id in bigg,,,,
231,met,glyc3p_e,glyc3p_e,id in bigg,,,,
232,met,34hpp_c,34hpp_c,id in bigg,,,,
233,met,h_e,h_e,id in bigg,,,,
234,met,mn2_c,mn2_c,id in bigg,,,,
235,met,1pyr5c_c,1pyr5c_c,id in bigg,,,,
236,met,cellb_e,cellb_e,id in bigg,,,,
237,met,prfp_c,prfp_c,id in bigg,,,,
238,met,trnaleu_c,trnaleu_c,id in bigg,,,,
239,met,2obut_c,2obut_c,id in bigg,,,,
240,met,dtmp_c,dtmp_c,id in bigg,,,,
241,met,2toceacp_c,2toceacp_c,id in bigg,,,,
242,met,ipdp_c,ipdp_c,id in bigg,,,,
243,met,acACP_c,acACP_c,id in bigg,,,,
244,met,ser__D_c,ser__D_c,id in bigg,,,,
245,met,dtdp_c,dtdp_c,id in bigg,,,,
246,met,tre6p_c,tre6p_c,id in bigg,,,,
247,met,4ppcys_c,4ppcys_c,id in bigg,,,,
248,met,3pg_c,3pg_c,id in bigg,,,,
249,met,aaacp_c,aaacp_c,id in bigg,,,,
250,met,4met2obut_c,4met2obut_c,id in bigg,,,,
251,met,unaga_c,unaga_c,id in bigg,,,,
252,met,dcmp_c,dcmp_c,id in bigg,,,,
253,met,orot_e,orot_e,id in bigg,,,,
254,met,bzal_e,bzal_e,id in bigg,,,,
255,met,etoh_c,etoh_c,id in bigg,,,,
256,met,acald_e,acald_e,id in bigg,,,,
257,met,clpn_LLA_c,clpn_LLA_c,id in bigg,,,,
258,met,uaccg_c,uaccg_c,id in bigg,,,,
259,met,2hxic__L_c,2hxic__L_c,id in bigg,,,,
260,met,5aizc_c,5aizc_c,id in bigg,,,,
261,met,fe2_e,fe2_e,id in bigg,,,,
262,met,hdeacp_c,hdeacp_c,id in bigg,,,,
263,met,orn__L_c,orn__L_c,id in bigg,,,,
264,met,g3pe_c,g3pe_c,id in bigg,,,,
265,met,trnapro_c,trnapro_c,id in bigg,,,,
266,met,mercppyr_c,mercppyr_c,id in bigg,,,,
267,met,5mtr_c,5mtr_c,id in bigg,,,,
268,met,glytrna_c,glytrna_c,id in bigg,,,,
269,met,ocdacp_c,ocdacp_c,id in bigg,,,,
270,met,trdox_c,trdox_c,id in bigg,,,,
271,met,12dgr_LLA_c,12dgr_LLA_c,id in bigg,,,,
272,met,5apru_c,5apru_c,id in bigg,,,,
273,met,so4_c,so4_c,id in bigg,,,,
274,met,lystrna_c,lystrna_c,id in bigg,,,,
275,met,2ddg6p_c,2ddg6p_c,id in bigg,,,,
276,met,3hddacp_c,3hddacp_c,id in bigg,,,,
277,met,acmanap_c,acmanap_c,id in bigg,,,,
278,met,iv_p_c,iv_p_c,id in bigg,,,,
279,met,3hocacp_c,3hocacp_c,id in bigg,,,,
280,met,decacp_c,decacp_c,id in bigg,,,,
281,met,3mbal_e,3mbal_e,id in bigg,,,,
282,met,drib_e,drib_e,id in bigg,,,,
283,met,anth_c,anth_c,id in bigg,,,,
284,met,ala__D_e,ala__D_e,id in bigg,,,,
285,met,alac__S_c,alac__S_c,id in bigg,,,,
286,met,mettrna_c,mettrna_c,id in bigg,,,,
287,met,thdp_c,thdp_c,id in bigg,,,,
288,met,thr__L_c,thr__L_c,id in bigg,,,,
289,met,cdp_c,cdp_c,id in bigg,,,,
290,met,3hpaacp_c,3hpaacp_c,id in bigg,,,,
291,met,2theacp_c,2theacp_c,id in bigg,,,,
292,met,h2s_e,h2s_e,id in bigg,,,,
293,met,trptrna_c,trptrna_c,id in bigg,,,,
294,met,lac__L_c,lac__L_c,id in bigg,,,,
295,met,gua_c,gua_c,id in bigg,,,,
296,met,trnaglu_c,trnaglu_c,id in bigg,,,,
297,met,asp__L_e,asp__L_e,id in bigg,,,,
298,met,pram_c,pram_c,id in bigg,,,,
299,met,fdxr_42_c,fdxr_42_c,id in bigg,,,,
300,met,dadp_c,dadp_c,id in bigg,,,,
301,met,histd_c,histd_c,id in bigg,,,,
302,met,dudp_c,dudp_c,id in bigg,,,,
303,met,glutrna_c,glutrna_c,id in bigg,,,,
304,met,pyrimid_c,pyrimid_c,id in bigg,,,,
305,met,maltttr_c,maltttr_c,id in bigg,,,,
306,met,ppi_c,ppi_c,id in bigg,,,,
307,met,succoa_c,succoa_c,id in bigg,,,,
308,met,phom_c,phom_c,id in bigg,,,,
309,met,3c3hmp_c,3c3hmp_c,id in bigg,,,,
310,met,imp_c,imp_c,id in bigg,,,,
311,met,fmet_c,fmet_c,id in bigg,,,,
312,met,ala__L_e,ala__L_e,id in bigg,,,,
313,met,asptrna_c,asptrna_c,id in bigg,,,,
314,met,acgam1p_c,acgam1p_c,id in bigg,,,,
315,met,2h3mp_c,2h3mp_c,id in bigg,,,,
316,met,fruur_c,fruur_c,id in bigg,,,,
317,met,udp_c,udp_c,id in bigg,,,,
318,met,val__L_e,val__L_e,id in bigg,,,,
319,met,sertrna_c,sertrna_c,id in bigg,,,,
320,met,leutrna_c,leutrna_c,id in bigg,,,,
321,met,o2s_c,o2s_c,id in bigg,,,,
322,met,3mop_c,3mop_c,id in bigg,,,,
323,met,23dhmp_c,23dhmp_c,id in bigg,,,,
324,met,xu5p__D_c,xu5p__D_c,id in bigg,,,,
325,met,xylu__D_c,xylu__D_c,id in bigg,,,,
326,met,a_gal__D_c,a_gal__D_c,id in bigg,,,,
327,met,2tocdacp_c,2tocdacp_c,id in bigg,,,,
328,met,suchms_c,suchms_c,id in bigg,,,,
329,met,trnaasp_c,trnaasp_c,id in bigg,,,,
330,met,DNA_LLA_c,DNA_LLA_c,id in bigg,,,,
331,met,fpram_c,fpram_c,id in bigg,,,,
332,met,gtp_c,gtp_c,id in bigg,,,,
333,met,acmana_e,acmana_e,id in bigg,,,,
334,met,hepdp_c,hepdp_c,id in bigg,,,,
335,met,4mhetz_c,4mhetz_c,id in bigg,,,,
336,met,mhpglu_c,mhpglu_c,id in bigg,,,,
337,met,glcn__D_c,glcn__D_c,id in bigg,,,,
338,met,pyrin_c,pyrin_c,id in bigg,,,,
339,met,for_c,for_c,id in bigg,,,,
340,met,trnaser_c,trnaser_c,id in bigg,,,,
341,met,gcald_c,gcald_c,id in bigg,,,,
342,met,sucbz_c,sucbz_c,id in bigg,,,,
343,met,glu5p_c,glu5p_c,id in bigg,,,,
344,met,imacp_c,imacp_c,id in bigg,,,,
345,met,bzal_c,bzal_c,id in bigg,,,,
346,met,cys__L_c,cys__L_c,id in bigg,,,,
347,met,dtdp6dm_c,dtdp6dm_c,id in bigg,,,,
348,met,prpp_c,prpp_c,id in bigg,,,,
349,met,nh4_c,nh4_c,id in bigg,,,,
350,met,ACP_c,ACP_c,id in bigg,,,,
351,met,ahdt_c,ahdt_c,id in bigg,,,,
352,met,cytd_c,cytd_c,id in bigg,,,,
353,met,citr__L_c,citr__L_c,id in bigg,,,,
354,met,gua_e,gua_e,id in bigg,,,,
355,met,asp__L_c,asp__L_c,id in bigg,,,,
356,met,ala__L_c,ala__L_c,id in bigg,,,,
357,met,actn__R_e,actn__R_e,id in bigg,,,,
358,met,unagama_c,unagama_c,id in bigg,,,,
359,met,uacgam_c,uacgam_c,id in bigg,,,,
360,met,5odhf2a_c,5odhf2a_c,id in bigg,,,,
361,met,oxa_c,oxa_c,id in bigg,,,,
362,met,fe2_c,fe2_c,id in bigg,,,,
363,met,udpg_c,udpg_c,id in bigg,,,,
364,met,3hdeacp_c,3hdeacp_c,id in bigg,,,,
365,met,pphn_c,pphn_c,id in bigg,,,,
366,met,fum_c,fum_c,id in bigg,,,,
367,met,ile__L_e,ile__L_e,id in bigg,,,,
368,met,glu__D_c,glu__D_c,id in bigg,,,,
369,met,octacp_c,octacp_c,id in bigg,,,,
370,met,2chdeacp_c,2chdeacp_c,id in bigg,,,,
371,met,adn_c,adn_c,id in bigg,,,,
372,met,trnagly_c,trnagly_c,id in bigg,,,,
373,met,4adcho_c,4adcho_c,id in bigg,,,,
374,met,prlp_c,prlp_c,id in bigg,,,,
375,met,acorn_c,acorn_c,id in bigg,,,,
376,met,malt_e,malt_e,id in bigg,,,,
377,met,ncam_c,ncam_c,id in bigg,,,,
378,met,3mob_c,3mob_c,id in bigg,,,,
379,met,2pg_c,2pg_c,id in bigg,,,,
380,met,glc__D_c,glc__D_c,id in bigg,,,,
381,met,2ahhmd_c,2ahhmd_c,id in bigg,,,,
382,met,2mop_c,2mop_c,id in bigg,,,,
383,met,cyst__L_c,cyst__L_c,id in bigg,,,,
384,met,itp_c,itp_c,id in bigg,,,,
385,met,glyb_c,glyb_c,id in bigg,,,,
386,met,6pgl_c,6pgl_c,id in bigg,,,,
387,met,malthx_c,malthx_c,id in bigg,,,,
388,met,phetrna_c,phetrna_c,id in bigg,,,,
389,met,orn__L_e,orn__L_e,id in bigg,,,,
390,met,idp_c,idp_c,id in bigg,,,,
391,met,glutrnagln_c,glutrnagln_c,id in bigg,,,,
392,met,akg_e,akg_e,id in bigg,,,,
393,met,4abz_c,4abz_c,id in bigg,,,,
394,met,gthox_c,gthox_c,id in bigg,,,,
395,met,acgala_e,acgala_e,id in bigg,,,,
396,met,thf_c,thf_c,id in bigg,,,,
397,met,acg5sa_c,acg5sa_c,id in bigg,,,,
398,met,ribflv_e,ribflv_e,id in bigg,,,,
399,met,tyr__L_c,tyr__L_c,id in bigg,,,,
400,met,dcdp_c,dcdp_c,id in bigg,,,,
401,met,gln__L_e,gln__L_e,id in bigg,,,,
402,met,dmlz_c,dmlz_c,id in bigg,,,,
403,met,aspsa_c,aspsa_c,id in bigg,,,,
404,met,pnto__R_c,pnto__R_c,id in bigg,,,,
405,met,2beacp_c,2beacp_c,id in bigg,,,,
406,met,h_c,h_c,id in bigg,,,,
407,met,dhor__S_c,dhor__S_c,id in bigg,,,,
408,met,4ppan_c,4ppan_c,id in bigg,,,,
409,met,PROT_LLA_v3_c,PROT_LLA_v3_c,id in bigg,,,,
410,met,cpocdacp_c,cpocdacp_c,id in bigg,,,,
411,met,cmp_c,cmp_c,id in bigg,,,,
412,met,skm5p_c,skm5p_c,id in bigg,,,,
413,met,3mbal_c,3mbal_c,id in bigg,,,,
414,met,agly3p_LLA_c,agly3p_LLA_c,id in bigg,,,,
415,met,g3pg_c,g3pg_c,id in bigg,,,,
416,met,lys__L_c,lys__L_c,id in bigg,,,,
417,met,dgdp_c,dgdp_c,id in bigg,,,,
418,met,thm_e,thm_e,id in bigg,,,,
419,met,rib__D_c,rib__D_c,id in bigg,,,,
420,met,dhap_c,dhap_c,id in bigg,,,,
421,met,trnaval_c,trnaval_c,id in bigg,,,,
422,met,acamoxm_c,acamoxm_c,id in bigg,,,,
423,met,leu__L_e,leu__L_e,id in bigg,,,,
424,met,ala__D_c,ala__D_c,id in bigg,,,,
425,met,thr__L_e,thr__L_e,id in bigg,,,,
426,met,ugmd_c,ugmd_c,id in bigg,,,,
427,met,sbt6p_c,sbt6p_c,id in bigg,,,,
428,met,uri_c,uri_c,id in bigg,,,,
429,met,4hglu_c,4hglu_c,id in bigg,,,,
430,met,dhna_c,dhna_c,id in bigg,,,,
431,met,2mbald_e,2mbald_e,id in bigg,,,,
432,met,2h3mb_e,2h3mb_e,id in bigg,,,,
433,met,dimp_c,dimp_c,id in bigg,,,,
434,met,fru_e,fru_e,id in bigg,,,,
435,met,ppi_e,ppi_e,id in bigg,,,,
436,met,nicrnt_c,nicrnt_c,id in bigg,,,,
437,met,ser__D_e,ser__D_e,id in bigg,,,,
438,met,ade_c,ade_c,id in bigg,,,,
439,met,acgam6p_c,acgam6p_c,id in bigg,,,,
440,met,argsuc_c,argsuc_c,id in bigg,,,,
441,met,asn__L_c,asn__L_c,id in bigg,,,,
442,met,fadh2_c,fadh2_c,id in bigg,,,,
443,met,ptrc_e,ptrc_e,id in bigg,,,,
444,met,mn2_e,mn2_e,id in bigg,,,,
445,met,2mba_e,2mba_e,id in bigg,,,,
446,met,2h3mp_e,2h3mp_e,id in bigg,,,,
447,met,2mb_p_c,2mb_p_c,id in bigg,,,,
448,met,pan4p_c,pan4p_c,id in bigg,,,,
449,met,trnalys_c,trnalys_c,id in bigg,,,,
450,met,malttr_c,malttr_c,id in bigg,,,,
451,met,ins_e,ins_e,id in bigg,,,,
452,met,PG_c,PG_c,id in bigg,,,,
453,met,gmh7p_c,gmh7p_c,id in bigg,,,,
454,met,gam6p_c,gam6p_c,id in bigg,,,,
455,met,2thdeacp_c,2thdeacp_c,id in bigg,,,,
456,met,dnad_c,dnad_c,id in bigg,,,,
457,met,glyc_c,glyc_c,id in bigg,,,,
458,met,met__D_c,met__D_c,id in bigg,,,,
459,met,pea_e,pea_e,id in bigg,,,,
460,met,26dap__M_c,26dap__M_c,id in bigg,,,,
461,met,phpyr_c,phpyr_c,id in bigg,,,,
462,met,cdpdag_LLA_c,cdpdag_LLA_c,id in bigg,,,,
463,met,nad_c,nad_c,id in bigg,,,,
464,met,damp_c,damp_c,id in bigg,,,,
465,met,4ampm_c,4ampm_c,id in bigg,,,,
466,met,apoACP_c,apoACP_c,id in bigg,,,,
467,met,ib_p_c,ib_p_c,id in bigg,,,,
468,met,mev__R_c,mev__R_c,id in bigg,,,,
469,met,hisp_c,hisp_c,id in bigg,,,,
470,met,LTA_LLA_c,LTA_LLA_c,id in bigg,,,,
471,met,galt1p_c,galt1p_c,id in bigg,,,,
472,met,2dr5p_c,2dr5p_c,id in bigg,,,,
473,met,uAgla_c,uAgla_c,id in bigg,,,,
474,met,udcp_c,udcp_c,id in bigg,,,,
475,met,fdxo_42_c,fdxo_42_c,id in bigg,,,,
476,met,o2_c,o2_c,id in bigg,,,,
477,met,pran_c,pran_c,id in bigg,,,,
478,met,valtrna_c,valtrna_c,id in bigg,,,,
479,met,thymd_e,thymd_e,id in bigg,,,,
480,met,so4_e,so4_e,id in bigg,,,,
481,met,3oxocacp_c,3oxocacp_c,id in bigg,,,,
482,met,xtsn_c,xtsn_c,id in bigg,,,,
483,met,cit_c,cit_c,id in bigg,,,,
484,met,tagdp__D_c,tagdp__D_c,id in bigg,,,,
485,met,chol_e,chol_e,id in bigg,,,,
486,met,zn2_c,zn2_c,id in bigg,,,,
487,met,etoh_e,etoh_e,id in bigg,,,,
488,met,histrna_c,histrna_c,id in bigg,,,,
489,met,met__L_c,met__L_c,id in bigg,,,,
490,met,6pgc_c,6pgc_c,id in bigg,,,,
491,met,grdp_c,grdp_c,id in bigg,,,,
492,met,ohpb_c,ohpb_c,id in bigg,,,,
493,met,tre_e,tre_e,id in bigg,,,,
494,met,2ahbut_c,2ahbut_c,id in bigg,,,,
495,met,5mta_c,5mta_c,id in bigg,,,,
496,met,trnatrp_c,trnatrp_c,id in bigg,,,,
497,met,spmd_e,spmd_e,id in bigg,,,,
498,met,2dmmq8_c,2dmmq8_c,id in bigg,,,,
499,met,3hmp_c,3hmp_c,id in bigg,,,,
500,met,acser_c,acser_c,id in bigg,,,,
501,met,lac__L_e,lac__L_e,id in bigg,,,,
