,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature_tp,feature_bigg,other
0,met,10fthf_c,10fthf_c,id in bigg,,,,
1,met,ru5p__D_c,ru5p__D_c,id in bigg,,,,
2,met,unagamagp_c,unagamagp_c,id in bigg,,,,
3,met,4ahmmp_c,4ahmmp_c,id in bigg,,,,
4,met,dha_e,dha_e,id in bigg,,,,
5,met,2mba_c,2mba_c,id in bigg,,,,
6,met,2dr1p_c,2dr1p_c,id in bigg,,,,
7,met,dhpt_c,dhpt_c,id in bigg,,,,
8,met,fprica_c,fprica_c,id in bigg,,,,
9,met,pnto__R_e,pnto__R_e,id in bigg,,,,
10,met,nh3_c,nh3_c,id in bigg,,,,
11,met,sbt__D_e,sbt__D_e,id in bigg,,,,
12,met,actn__R_c,actn__R_c,id in bigg,,,,
13,met,acgal6p_c,acgal6p_c,id in bigg,,,,
14,met,arbt6p_c,arbt6p_c,id in bigg,,,,
15,met,arg__L_e,arg__L_e,id in bigg,,,,
16,met,f1p_c,f1p_c,id in bigg,,,,
17,met,psd5p_c,psd5p_c,id in bigg,,,,
18,met,udpgal_c,udpgal_c,id in bigg,,,,
19,met,thmmp_c,thmmp_c,id in bigg,,,,
20,met,akg_c,akg_c,id in bigg,,,,
21,met,adp_c,adp_c,id in bigg,,,,
22,met,dhf_c,dhf_c,id in bigg,,,,
23,met,4mop_c,4mop_c,id in bigg,,,,
24,met,n8aspmd_c,n8aspmd_c,id in bigg,,,,
25,met,co2_c,co2_c,id in bigg,,,,
26,met,cit_e,cit_e,id in bigg,,,,
27,met,ser__L_c,ser__L_c,id in bigg,,,,
28,met,3ig3p_c,3ig3p_c,id in bigg,,,,
29,met,g3p_c,g3p_c,id in bigg,,,,
30,met,lcts_c,lcts_c,id in bigg,,,,
31,met,leu__L_c,leu__L_c,id in bigg,,,,
32,met,dcyt_c,dcyt_c,id in bigg,,,,
33,met,thfglu_c,thfglu_c,id in bigg,,,,
34,met,r1p_c,r1p_c,id in bigg,,,,
35,met,dgtp_c,dgtp_c,id in bigg,,,,
36,met,trnathr_c,trnathr_c,id in bigg,,,,
37,met,ac_e,ac_e,id in bigg,,,,
38,met,mi1p__D_c,mi1p__D_c,id in bigg,,,,
39,met,2h3mb_c,2h3mb_c,id in bigg,,,,
40,met,ch4s_e,ch4s_e,id in bigg,,,,
41,met,2hxmp_c,2hxmp_c,id in bigg,,,,
42,met,met__L_e,met__L_e,id in bigg,,,,
43,met,hexacp_c,hexacp_c,id in bigg,,,,
44,met,CPS_LLA_c,CPS_LLA_c,id in bigg,,,,
45,met,gal1p_c,gal1p_c,id in bigg,,,,
46,met,2dhp_c,2dhp_c,id in bigg,,,,
47,met,tyr__L_e,tyr__L_e,id in bigg,,,,
48,met,uama_c,uama_c,id in bigg,,,,
49,met,fad_c,fad_c,id in bigg,,,,
50,met,nmn_c,nmn_c,id in bigg,,,,
51,met,pppg9_c,pppg9_c,id in bigg,,,,
52,met,utp_c,utp_c,id in bigg,,,,
53,met,thrtrna_c,thrtrna_c,id in bigg,,,,
54,met,skm_c,skm_c,id in bigg,,,,
55,met,3oxdeacp_c,3oxdeacp_c,id in bigg,,,,
56,met,xan_c,xan_c,id in bigg,,,,
57,met,chol_c,chol_c,id in bigg,,,,
58,met,sucr_c,sucr_c,id in bigg,,,,
59,met,hqn_c,hqn_c,id in bigg,,,,
60,met,amet_c,amet_c,id in bigg,,,,
61,met,4abz_e,4abz_e,id in bigg,,,,
62,met,2shchc_c,2shchc_c,id in bigg,,,,
63,met,pa_LLA_c,pa_LLA_c,id in bigg,,,,
64,met,trnahis_c,trnahis_c,id in bigg,,,,
65,met,malthp_c,malthp_c,id in bigg,,,,
66,met,indpyr_c,indpyr_c,id in bigg,,,,
67,met,LTAala_LLA_c,LTAala_LLA_c,id in bigg,,,,
68,met,glyc_e,glyc_e,id in bigg,,,,
69,met,galt_e,galt_e,id in bigg,,,,
70,met,din_c,din_c,id in bigg,,,,
71,met,d12dg_LLA_c,d12dg_LLA_c,id in bigg,,,,
72,met,glyb_e,glyb_e,id in bigg,,,,
73,met,man_e,man_e,id in bigg,,,,
74,met,pant__R_c,pant__R_c,id in bigg,,,,
75,met,23dhdp_c,23dhdp_c,id in bigg,,,,
76,met,phe__L_e,phe__L_e,id in bigg,,,,
77,met,cbasp_c,cbasp_c,id in bigg,,,,
78,met,mqn8_c,mqn8_c,id in bigg,,,,
79,met,h2o_e,h2o_e,id in bigg,,,,
80,met,25dhpp_c,25dhpp_c,id in bigg,,,,
81,met,phthr_c,phthr_c,id in bigg,,,,
82,met,asp__D_c,asp__D_c,id in bigg,,,,
83,met,cpppg3_c,cpppg3_c,id in bigg,,,,
84,met,dpcoa_c,dpcoa_c,id in bigg,,,,
85,met,pro__L_c,pro__L_c,id in bigg,,,,
86,met,nadph_c,nadph_c,id in bigg,,,,
87,met,6pgg_c,6pgg_c,id in bigg,,,,
88,met,adprib_c,adprib_c,id in bigg,,,,
89,met,cys__L_e,cys__L_e,id in bigg,,,,
90,met,gthrd_c,gthrd_c,id in bigg,,,,
91,met,fdp_c,fdp_c,id in bigg,,,,
92,met,asn__L_e,asn__L_e,id in bigg,,,,
93,met,al26da_c,al26da_c,id in bigg,,,,
94,met,acp_c,acp_c,id in bigg,,,,
95,met,ump_c,ump_c,id in bigg,,,,
96,met,uaAgla_c,uaAgla_c,id in bigg,,,,
97,met,5mthf_c,5mthf_c,id in bigg,,,,
98,met,orot5p_c,orot5p_c,id in bigg,,,,
99,met,btd_RR_c,btd_RR_c,id in bigg,,,,
100,met,chor_c,chor_c,id in bigg,,,,
101,met,ile__L_c,ile__L_c,id in bigg,,,,
102,met,acglu_c,acglu_c,id in bigg,,,,
103,met,PROT_LLA_c,PROT_LLA_c,id in bigg,,,,
104,met,2tdeacp_c,2tdeacp_c,id in bigg,,,,
105,met,succ_c,succ_c,id in bigg,,,,
106,met,trnaala_c,trnaala_c,id in bigg,,,,
107,met,ACP_2_c,ACP_2_c,id in bigg,,,,
108,met,fol_e,fol_e,id in bigg,,,,
109,met,gsn_c,gsn_c,id in bigg,,,,
110,met,hco3_c,hco3_c,id in bigg,,,,
111,met,spmd_c,spmd_c,id in bigg,,,,
112,met,4h2oxg_c,4h2oxg_c,id in bigg,,,,
113,met,5fothf_c,5fothf_c,id in bigg,,,,
114,met,gdptp_c,gdptp_c,id in bigg,,,,
115,met,pyr_c,pyr_c,id in bigg,,,,
116,met,fmn_c,fmn_c,id in bigg,,,,
117,met,trnamet_c,trnamet_c,id in bigg,,,,
118,met,gam1p_c,gam1p_c,id in bigg,,,,
119,met,gln__L_c,gln__L_c,id in bigg,,,,
