bigg_id,equaction_string,mets,bounds,original_bigg_ids
DM_4crsol_c,4crsol_c --> ,{'4crsol_c': -1.0},"(0.0, 1000.0)","['DM_4CRSOL', 'DM_4crsol_c']"
DM_amob_c,amob_c --> ,{'amob_c': -1.0},"(0.0, 1000.0)","['DM_AMOB', 'DM_amob_c', 'sink_amob']"
EX_23dappa_e,23dappa_e --> ,{'23dappa_e': -1.0},"(0.0, 1000.0)","['EX_23dappa_LPAREN_e_RPAREN_', 'EX_23dappa_e']"
EX_3ump_e,3ump_e --> ,{'3ump_e': -1.0},"(0.0, 1000.0)","['EX_3ump[e]', 'EX_3ump_LPAREN_e_RPAREN_', 'EX_3ump_e', 'EX_3ump_e_']"
EX_acgal1p_e,acgal1p_e --> ,{'acgal1p_e': -1.0},"(0.0, 1000.0)","['EX_acgal1p_LPAREN_e_RPAREN_', 'EX_acgal1p_e']"
EX_acmana_e,acmana_e --> ,{'acmana_e': -1.0},"(0.0, 1000.0)","['EX_acmana[e]', 'EX_acmana_LPAREN_e_RPAREN_', 'EX_acmana_e', 'EX_acmana_e_']"
EX_ag_e,ag_e --> ,{'ag_e': -1.0},"(0.0, 1000.0)","['EX_ag_LPAREN_e_RPAREN_', 'EX_ag_e']"
EX_alaala_e,alaala_e --> ,{'alaala_e': -1.0},"(0.0, 1000.0)","['EX_alaala(e)', 'EX_alaala[e]', 'EX_alaala_LPAREN_e_RPAREN_', 'EX_alaala_e', 'EX_alaala_e_']"
EX_anhgm_e,anhgm_e --> ,{'anhgm_e': -1.0},"(0.0, 1000.0)","['EX_anhgm_LPAREN_e_RPAREN_', 'EX_anhgm_e']"
EX_arab__L_e,arab__L_e --> ,{'arab__L_e': -1.0},"(0.0, 1000.0)","['EX_arab-L(e)', 'EX_arab_DASH_L_LPAREN_e_RPAREN_', 'EX_arab_L(e)', 'EX_arab_L[e]', 'EX_arab_L_LPAREN_e_RPAREN_', 'EX_arab_L_e', 'EX_arab_L_e_', 'EX_arab__L_e']"
EX_asn__L_e,asn__L_e --> ,{'asn__L_e': -1.0},"(0.0, 1000.0)","['EX_asn-L(e)', 'EX_asn_DASH_L_LPAREN_e_RPAREN_', 'EX_asn_L[e]', 'EX_asn_L_LPAREN_e_RPAREN_', 'EX_asn_L_e', 'EX_asn_L_e_', 'EX_asn__L_e']"
EX_asp__L_e,asp__L_e --> ,{'asp__L_e': -1.0},"(0.0, 1000.0)","['EX_asp-L(e)', 'EX_asp_DASH_L_LPAREN_e_RPAREN_', 'EX_asp_L[e]', 'EX_asp_L_LPAREN_e_RPAREN_', 'EX_asp_L_e', 'EX_asp_L_e_', 'EX_asp__L_e']"
EX_btn_e,btn_e --> ,{'btn_e': -1.0},"(0.0, 1000.0)","['EX_biotin_e', 'EX_btn(e)', 'EX_btn[e]', 'EX_btn_LPAREN_e_RPAREN_', 'EX_btn_e', 'EX_btn_e_']"
