bigg_id,equaction_string,mets,bounds,original_bigg_ids
EX_co2_e,co2_e --> ,{'co2_e': -1.0},"(0.0, 1000.0)","['EX_co2(e)', 'EX_co2[e]', 'EX_co2_LPAREN_e_RPAREN_', 'EX_co2_e', 'EX_co2_e_']"
EX_cpgn_e,cpgn_e --> ,{'cpgn_e': -1.0},"(0.0, 1000.0)","['EX_cpgn_LPAREN_e_RPAREN_', 'EX_cpgn_e']"
EX_cpgn_un_e,cpgn_un_e --> ,{'cpgn_un_e': -1.0},"(0.0, 1000.0)","['EX_cpgn_DASH_un_LPAREN_e_RPAREN_', 'EX_cpgn__un_e', 'EX_cpgn_un_LPAREN_e_RPAREN_', 'EX_cpgn_un_e']"
EX_cu_e,cu_e --> ,{'cu_e': -1.0},"(0.0, 1000.0)","['EX_cu_LPAREN_e_RPAREN_', 'EX_cu_e']"
EX_cu2_e,cu2_e --> ,{'cu2_e': -1.0},"(0.0, 1000.0)","['EX_cu2(e)', 'EX_cu2_LPAREN_e_RPAREN_', 'EX_cu2_e', 'EX_cu2_e_']"
EX_cys__D_e,cys__D_e --> ,{'cys__D_e': -1.0},"(0.0, 1000.0)","['EX_cys_DASH_D_LPAREN_e_RPAREN_', 'EX_cys_D_LPAREN_e_RPAREN_', 'EX_cys_D_e', 'EX_cys_D_e_', 'EX_cys__D_e']"
EX_cys__L_e,cys__L_e --> ,{'cys__L_e': -1.0},"(0.0, 1000.0)","['EX_cys-L(e)', 'EX_cys_DASH_L_LPAREN_e_RPAREN_', 'EX_cys_L[e]', 'EX_cys_L_LPAREN_e_RPAREN_', 'EX_cys_L_e', 'EX_cys_L_e_', 'EX_cys__L_e']"
EX_cytd_e,cytd_e --> ,{'cytd_e': -1.0},"(0.0, 1000.0)","['EX_cytd[e]', 'EX_cytd_LPAREN_e_RPAREN_', 'EX_cytd_e', 'EX_cytd_e_']"
EX_ddca_e,ddca_e --> ,{'ddca_e': -1.0},"(0.0, 1000.0)","['EX_HC02176_e_', 'EX_ddca[e]', 'EX_ddca_LPAREN_e_RPAREN_', 'EX_ddca_e', 'EX_ddca_e_']"
EX_din_e,din_e --> ,{'din_e': -1.0},"(0.0, 1000.0)","['EX_din[e]', 'EX_din_LPAREN_e_RPAREN_', 'EX_din_e', 'EX_din_e_']"
EX_dmso_e,dmso_e --> ,{'dmso_e': -1.0},"(0.0, 1000.0)","['EX_dmso_LPAREN_e_RPAREN_', 'EX_dmso_e']"
EX_dump_e,dump_e --> ,{'dump_e': -1.0},"(0.0, 1000.0)","['EX_dump_LPAREN_e_RPAREN_', 'EX_dump_e']"
EX_enlipa_e,enlipa_e --> ,{'enlipa_e': -1.0},"(0.0, 1000.0)","['EX_enlipa_LPAREN_e_RPAREN_', 'EX_enlipa_e']"
EX_fald_e,fald_e --> ,{'fald_e': -1.0},"(0.0, 1000.0)","['EX_fald[e]', 'EX_fald_LPAREN_e_RPAREN_', 'EX_fald_e', 'EX_fald_e_']"
EX_fe3_e,fe3_e --> ,{'fe3_e': -1.0},"(0.0, 1000.0)","['EX_fe3(e)', 'EX_fe3[e]', 'EX_fe3_LPAREN_e_RPAREN_', 'EX_fe3_e', 'EX_fe3_e_']"
EX_fe3dcit_e,fe3dcit_e --> ,{'fe3dcit_e': -1.0},"(0.0, 1000.0)","['EX_fe3dcit_LPAREN_e_RPAREN_', 'EX_fe3dcit_e']"
EX_fecrm_e,fecrm_e --> ,{'fecrm_e': -1.0},"(0.0, 1000.0)","['EX_fecrm_LPAREN_e_RPAREN_', 'EX_fecrm_e']"
EX_fecrm_un_e,fecrm_un_e --> ,{'fecrm_un_e': -1.0},"(0.0, 1000.0)","['EX_fecrm_DASH_un_LPAREN_e_RPAREN_', 'EX_fecrm__un_e', 'EX_fecrm_un_LPAREN_e_RPAREN_', 'EX_fecrm_un_e']"
EX_feenter_e,feenter_e --> ,{'feenter_e': -1.0},"(0.0, 1000.0)","['EX_feenter_LPAREN_e_RPAREN_', 'EX_feenter_e']"
EX_frulys_e,frulys_e --> ,{'frulys_e': -1.0},"(0.0, 1000.0)","['EX_frulys_LPAREN_e_RPAREN_', 'EX_frulys_e']"
EX_g3pc_e,g3pc_e --> ,{'g3pc_e': -1.0},"(0.0, 1000.0)","['EX_g3pc[e]', 'EX_g3pc_LPAREN_e_RPAREN_', 'EX_g3pc_e', 'EX_g3pc_e_']"
EX_g3ps_e,g3ps_e --> ,{'g3ps_e': -1.0},"(0.0, 1000.0)","['EX_g3ps_LPAREN_e_RPAREN_', 'EX_g3ps_e']"
EX_gal_bD_e,gal_bD_e --> ,{'gal_bD_e': -1.0},"(0.0, 1000.0)","['EX_gal_DASH_bD_LPAREN_e_RPAREN_', 'EX_gal__bD_e', 'EX_gal_bD_LPAREN_e_RPAREN_', 'EX_gal_bD_e']"
EX_galct__D_e,galct__D_e --> ,{'galct__D_e': -1.0},"(0.0, 1000.0)","['EX_galct_DASH_D_LPAREN_e_RPAREN_', 'EX_galct_D_LPAREN_e_RPAREN_', 'EX_galct_D_e', 'EX_galct__D_e']"
EX_galctn__L_e,galctn__L_e --> ,{'galctn__L_e': -1.0},"(0.0, 1000.0)","['EX_galctn_DASH_L_LPAREN_e_RPAREN_', 'EX_galctn_L_LPAREN_e_RPAREN_', 'EX_galctn_L_e', 'EX_galctn__L_e']"
EX_gam_e,gam_e --> ,{'gam_e': -1.0},"(0.0, 1000.0)","['EX_gam[e]', 'EX_gam_LPAREN_e_RPAREN_', 'EX_gam_e', 'EX_gam_e_']"
EX_gam6p_e,gam6p_e --> ,{'gam6p_e': -1.0},"(0.0, 1000.0)","['EX_gam6p_LPAREN_e_RPAREN_', 'EX_gam6p_e', 'EX_gam6p_e_']"
EX_gbbtn_e,gbbtn_e --> ,{'gbbtn_e': -1.0},"(0.0, 1000.0)","['EX_gbbtn_LPAREN_e_RPAREN_', 'EX_gbbtn_e', 'EX_gbbtn_e_']"
EX_gdp_e,gdp_e --> ,{'gdp_e': -1.0},"(0.0, 1000.0)","['EX_gdp[e]', 'EX_gdp_LPAREN_e_RPAREN_', 'EX_gdp_e', 'EX_gdp_e_']"
EX_glyc__R_e,glyc__R_e --> ,{'glyc__R_e': -1.0},"(0.0, 1000.0)","['EX_glyc_DASH_R_LPAREN_e_RPAREN_', 'EX_glyc_R[e]', 'EX_glyc_R_LPAREN_e_RPAREN_', 'EX_glyc_R_e', 'EX_glyc__R_e']"
EX_glyc3p_e,glyc3p_e --> ,{'glyc3p_e': -1.0},"(0.0, 1000.0)","['EX_glyc3p(e)', 'EX_glyc3p[e]', 'EX_glyc3p_LPAREN_e_RPAREN_', 'EX_glyc3p_e', 'EX_glyc3p_e_']"
EX_gua_e,gua_e --> ,{'gua_e': -1.0},"(0.0, 1000.0)","['EX_gua[e]', 'EX_gua_LPAREN_e_RPAREN_', 'EX_gua_e', 'EX_gua_e_']"
EX_h2o2_e,h2o2_e --> ,{'h2o2_e': -1.0},"(0.0, 1000.0)","['EX_h2o2[e]', 'EX_h2o2_LPAREN_e_RPAREN_', 'EX_h2o2_e', 'EX_h2o2_e_']"
EX_halipa_e,halipa_e --> ,{'halipa_e': -1.0},"(0.0, 1000.0)","['EX_halipa_LPAREN_e_RPAREN_', 'EX_halipa_e']"
EX_inost_e,inost_e --> ,{'inost_e': -1.0},"(0.0, 1000.0)","['EX_inost(e)', 'EX_inost[e]', 'EX_inost_LPAREN_e_RPAREN_', 'EX_inost_e', 'EX_inost_e_']"
EX_ins_e,ins_e --> ,{'ins_e': -1.0},"(0.0, 1000.0)","['EX_ins[e]', 'EX_ins_LPAREN_e_RPAREN_', 'EX_ins_e', 'EX_ins_e_']"
EX_isetac_e,isetac_e --> ,{'isetac_e': -1.0},"(0.0, 1000.0)","['EX_isetac_LPAREN_e_RPAREN_', 'EX_isetac_e']"
EX_k_e,k_e --> ,{'k_e': -1.0},"(0.0, 1000.0)","['EX_k(e)', 'EX_k[e]', 'EX_k_LPAREN_e_RPAREN_', 'EX_k_e', 'EX_k_e_']"
EX_lipoate_e,lipoate_e --> ,{'lipoate_e': -1.0},"(0.0, 1000.0)","['EX_lipoate[e]', 'EX_lipoate_LPAREN_e_RPAREN_', 'EX_lipoate_e', 'EX_lipoate_e_']"
EX_lyx__L_e,lyx__L_e --> ,{'lyx__L_e': -1.0},"(0.0, 1000.0)","['EX_lyx_DASH_L_LPAREN_e_RPAREN_', 'EX_lyx_L_LPAREN_e_RPAREN_', 'EX_lyx_L_e', 'EX_lyx__L_e']"
EX_malttr_e,malttr_e --> ,{'malttr_e': -1.0},"(0.0, 1000.0)","['EX_malttr(e)', 'EX_malttr[e]', 'EX_malttr_LPAREN_e_RPAREN_', 'EX_malttr_e', 'EX_malttr_e_']"
EX_maltttr_e,maltttr_e --> ,{'maltttr_e': -1.0},"(0.0, 1000.0)","['EX_maltttr(e)', 'EX_maltttr[e]', 'EX_maltttr_LPAREN_e_RPAREN_', 'EX_maltttr_e', 'EX_maltttr_e_']"
EX_melib_e,melib_e --> ,{'melib_e': -1.0},"(0.0, 1000.0)","['EX_melib(e)', 'EX_melib_LPAREN_e_RPAREN_', 'EX_melib_e', 'EX_melib_e_']"
EX_na1_e,na1_e --> ,{'na1_e': -1.0},"(0.0, 1000.0)","['EX_na1(e)', 'EX_na1[e]', 'EX_na1_LPAREN_e_RPAREN_', 'EX_na1_e', 'EX_na1_e_']"
EX_nac_e,nac_e --> ,{'nac_e': -1.0},"(0.0, 1000.0)","['EX_nac[e]', 'EX_nac_LPAREN_e_RPAREN_', 'EX_nac_e', 'EX_nac_e_']"
EX_o16a4colipa_e,o16a4colipa_e --> ,{'o16a4colipa_e': -1.0},"(0.0, 1000.0)","['EX_o16a4colipa_LPAREN_e_RPAREN_', 'EX_o16a4colipa_e']"
EX_orot_e,orot_e --> ,{'orot_e': -1.0},"(0.0, 1000.0)","['EX_orot[e]', 'EX_orot_LPAREN_e_RPAREN_', 'EX_orot_e', 'EX_orot_e_']"
EX_pheme_e,pheme_e --> ,{'pheme_e': -1.0},"(0.0, 1000.0)","['EX_pheme[e]', 'EX_pheme_LPAREN_e_RPAREN_', 'EX_pheme_e', 'EX_pheme_e_']"
EX_ppal_e,ppal_e --> ,{'ppal_e': -1.0},"(0.0, 1000.0)","['EX_ppal_LPAREN_e_RPAREN_', 'EX_ppal_e']"
EX_ptrc_e,ptrc_e --> ,{'ptrc_e': -1.0},"(0.0, 1000.0)","['EX_ptrc(e)', 'EX_ptrc[e]', 'EX_ptrc_LPAREN_e_RPAREN_', 'EX_ptrc_e', 'EX_ptrc_e_']"
EX_sbt__D_e,sbt__D_e --> ,{'sbt__D_e': -1.0},"(0.0, 1000.0)","['EX_sbt_DASH_D_LPAREN_e_RPAREN_', 'EX_sbt_D[e]', 'EX_sbt_D_LPAREN_e_RPAREN_', 'EX_sbt_D_e', 'EX_sbt_D_e_', 'EX_sbt__D_e', 'EX_sbt_d_e_']"
EX_sel_e,sel_e --> ,{'sel_e': -1.0},"(0.0, 1000.0)","['EX_sel_LPAREN_e_RPAREN_', 'EX_sel_e', 'EX_sel_e_']"
EX_ser__D_e,ser__D_e --> ,{'ser__D_e': -1.0},"(0.0, 1000.0)","['EX_ser-D(e)', 'EX_ser_DASH_D_LPAREN_e_RPAREN_', 'EX_ser_D_LPAREN_e_RPAREN_', 'EX_ser_D_e', 'EX_ser_D_e_', 'EX_ser__D_e']"
EX_skm_e,skm_e --> ,{'skm_e': -1.0},"(0.0, 1000.0)","['EX_skm_LPAREN_e_RPAREN_', 'EX_skm_e']"
EX_taur_e,taur_e --> ,{'taur_e': -1.0},"(0.0, 1000.0)","['EX_taur(e)', 'EX_taur[e]', 'EX_taur_LPAREN_e_RPAREN_', 'EX_taur_e', 'EX_taur_e_']"
EX_thr__L_e,thr__L_e --> ,{'thr__L_e': -1.0},"(0.0, 1000.0)","['EX_thr_DASH_L_LPAREN_e_RPAREN_', 'EX_thr_L(e)', 'EX_thr_L[e]', 'EX_thr_L_LPAREN_e_RPAREN_', 'EX_thr_L_e', 'EX_thr_L_e_', 'EX_thr__L_e']"
EX_ttdca_e,ttdca_e --> ,{'ttdca_e': -1.0},"(0.0, 1000.0)","['EX_ttdca[e]', 'EX_ttdca_LPAREN_e_RPAREN_', 'EX_ttdca_e', 'EX_ttdca_e_']"
EX_tyr__L_e,tyr__L_e --> ,{'tyr__L_e': -1.0},"(0.0, 1000.0)","['EX_tyr_DASH_L_LPAREN_e_RPAREN_', 'EX_tyr_L[e]', 'EX_tyr_L_LPAREN_e_RPAREN_', 'EX_tyr_L_e', 'EX_tyr_L_e_', 'EX_tyr__L_e']"
EX_udpg_e,udpg_e --> ,{'udpg_e': -1.0},"(0.0, 1000.0)","['EX_udpg[e]', 'EX_udpg_LPAREN_e_RPAREN_', 'EX_udpg_e', 'EX_udpg_e_']"
EX_urea_e,urea_e --> ,{'urea_e': -1.0},"(0.0, 1000.0)","['EX_urea[e]', 'EX_urea_LPAREN_e_RPAREN_', 'EX_urea_e', 'EX_urea_e_']"
EX_uri_e,uri_e --> ,{'uri_e': -1.0},"(0.0, 1000.0)","['EX_uri[e]', 'EX_uri_LPAREN_e_RPAREN_', 'EX_uri_e', 'EX_uri_e_']"
EX_zn2_e,zn2_e --> ,{'zn2_e': -1.0},"(0.0, 1000.0)","['EX_zn2(e)', 'EX_zn2_LPAREN_e_RPAREN_', 'EX_zn2_e', 'EX_zn2_e_']"
23CCMPtex,23ccmp_e --> 23ccmp_p,"{'23ccmp_e': -1.0, '23ccmp_p': 1.0}","(0.0, 1000.0)",['23CCMPtex']
23CGMPtex,23cgmp_e --> 23cgmp_p,"{'23cgmp_e': -1.0, '23cgmp_p': 1.0}","(0.0, 1000.0)",['23CGMPtex']
23PDE9pp,23cgmp_p + h2o_p --> 3gmp_p + h_p,"{'23cgmp_p': -1.0, '3gmp_p': 1.0, 'h2o_p': -1.0, 'h_p': 1.0}","(0.0, 1000.0)",['23PDE9pp']
2AGPA180tipp,2odecg3p_p --> 2odecg3p_c,"{'2odecg3p_c': 1.0, '2odecg3p_p': -1.0}","(0.0, 1000.0)",['2AGPA180tipp']
2AGPA181tipp,2odec11eg3p_p --> 2odec11eg3p_c,"{'2odec11eg3p_c': 1.0, '2odec11eg3p_p': -1.0}","(0.0, 1000.0)",['2AGPA181tipp']
2AGPE140tipp,2agpe140_p --> 2agpe140_c,"{'2agpe140_c': 1.0, '2agpe140_p': -1.0}","(0.0, 1000.0)",['2AGPE140tipp']
2AGPG160tipp,2agpg160_p --> 2agpg160_c,"{'2agpg160_c': 1.0, '2agpg160_p': -1.0}","(0.0, 1000.0)",['2AGPG160tipp']
2AGPG161tipp,2agpg161_p --> 2agpg161_c,"{'2agpg161_c': 1.0, '2agpg161_p': -1.0}","(0.0, 1000.0)",['2AGPG161tipp']
2AGPG181tipp,2agpg181_p --> 2agpg181_c,"{'2agpg181_c': 1.0, '2agpg181_p': -1.0}","(0.0, 1000.0)",['2AGPG181tipp']
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"{'2agpg120_c': -1.0, 'amp_c': 1.0, 'atp_c': -1.0, 'ddca_c': -1.0, 'pg120_c': 1.0, 'ppi_c': 1.0}","(0.0, 1000.0)","['2AGPGAT120', '_2AGPGAT120']"
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"{'2agpg141_c': -1.0, 'amp_c': 1.0, 'atp_c': -1.0, 'pg141_c': 1.0, 'ppi_c': 1.0, 'ttdcea_c': -1.0}","(0.0, 1000.0)","['2AGPGAT141', '_2AGPGAT141']"
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"{'2agpg180_c': -1.0, 'amp_c': 1.0, 'atp_c': -1.0, 'ocdca_c': -1.0, 'pg180_c': 1.0, 'ppi_c': 1.0}","(0.0, 1000.0)","['2AGPGAT180', '_2AGPGAT180']"
3AMPtex,3amp_e --> 3amp_p,"{'3amp_e': -1.0, '3amp_p': 1.0}","(0.0, 1000.0)",['3AMPtex']
3GMPtex,3gmp_e --> 3gmp_p,"{'3gmp_e': -1.0, '3gmp_p': 1.0}","(0.0, 1000.0)",['3GMPtex']
3HAD160,3hpalmACP_c --> h2o_c + tpalm2eACP_c,"{'3hpalmACP_c': -1.0, 'h2o_c': 1.0, 'tpalm2eACP_c': 1.0}","(0.0, 1000.0)","['3HAD160', '_3HAD160']"
3HPPtpp,3hpp_c + h_c --> 3hpp_p + h_p,"{'3hpp_c': -1.0, '3hpp_p': 1.0, 'h_c': -1.0, 'h_p': 1.0}","(0.0, 1000.0)",['3HPPtpp']
3KGK,3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c,"{'3dhguln_c': -1.0, '3dhgulnp_c': 1.0, 'adp_c': 1.0, 'atp_c': -1.0, 'h_c': 1.0}","(0.0, 1000.0)","['3KGK', '3NTD2pp']"
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"{'3hddecACP_c': 1.0, '3oddecACP_c': -1.0, 'h_c': -1.0, 'nadp_c': 1.0, 'nadph_c': -1.0}","(0.0, 1000.0)","['3OAR120', '_3OAR120']"
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"{'3hcmrs7eACP_c': 1.0, '3ocmrs7eACP_c': -1.0, 'h_c': -1.0, 'nadp_c': 1.0, 'nadph_c': -1.0}","(0.0, 1000.0)","['3OAR141', '_3OAR141']"
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"{'3hcpalm9eACP_c': 1.0, '3ocpalm9eACP_c': -1.0, 'h_c': -1.0, 'nadp_c': 1.0, 'nadph_c': -1.0}","(0.0, 1000.0)","['3OAR161', '_3OAR161']"
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,"{'3omrsACP_c': 1.0, 'ACP_c': 1.0, 'co2_c': 1.0, 'ddcaACP_c': -1.0, 'h_c': -1.0, 'malACP_c': -1.0}","(0.0, 1000.0)","['3OAS140', '_3OAS140']"
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,"{'3ocpalm9eACP_c': 1.0, 'ACP_c': 1.0, 'co2_c': 1.0, 'h_c': -1.0, 'malACP_c': -1.0, 'tdeACP_c': -1.0}","(0.0, 1000.0)","['3OAS161', '_3OAS161']"
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,"{'4hthr_c': 1.0, 'h2o_c': -1.0, 'phthr_c': -1.0, 'pi_c': 1.0}","(0.0, 1000.0)",['4HTHRS']
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,"{'5drib_c': 1.0, 'ade_c': 1.0, 'dad_5_c': -1.0, 'h2o_c': -1.0}","(0.0, 1000.0)","['5DOAN', '5DOAN_c', '_5DOAN']"
5MTRtpp,5mtr_c + h_c --> 5mtr_p + h_p,"{'5mtr_c': -1.0, '5mtr_p': 1.0, 'h_c': -1.0, 'h_p': 1.0}","(0.0, 1000.0)",['5MTRtpp']
A5PISO,ru5p__D_c --> ara5p_c,"{'ara5p_c': 1.0, 'ru5p__D_c': -1.0}","(0.0, 1000.0)",['A5PISO']
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"{'ACP_c': -1.0, 'amp_c': 1.0, 'atp_c': -1.0, 'ocdcea_c': -1.0, 'octeACP_c': 1.0, 'ppi_c': 1.0}","(0.0, 1000.0)",['AACPS5']
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"{'ACP_c': -1.0, 'amp_c': 1.0, 'atp_c': -1.0, 'ocdcaACP_c': 1.0, 'ocdca_c': -1.0, 'ppi_c': 1.0}","(0.0, 1000.0)",['AACPS6']
AACPS9,ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,"{'ACP_c': -1.0, 'amp_c': 1.0, 'atp_c': -1.0, 'ocACP_c': 1.0, 'octa_c': -1.0, 'ppi_c': 1.0}","(0.0, 1000.0)",['AACPS9']
ABTA,4abut_c + akg_c --> glu__L_c + sucsal_c,"{'4abut_c': -1.0, 'akg_c': -1.0, 'glu__L_c': 1.0, 'sucsal_c': 1.0}","(0.0, 1000.0)","['ABTA', 'ABTAr']"
ACACT2r,accoa_c + btcoa_c --> 3ohcoa_c + coa_c,"{'3ohcoa_c': 1.0, 'accoa_c': -1.0, 'btcoa_c': -1.0, 'coa_c': 1.0}","(0.0, 1000.0)","['ACACT2r', 'KAT2']"
ACACT3r,accoa_c + hxcoa_c --> 3oocoa_c + coa_c,"{'3oocoa_c': 1.0, 'accoa_c': -1.0, 'coa_c': 1.0, 'hxcoa_c': -1.0}","(0.0, 1000.0)","['ACACT3r', 'KAT3']"
ACACtex,acac_e --> acac_p,"{'acac_e': -1.0, 'acac_p': 1.0}","(0.0, 1000.0)",['ACACtex']
ACALDtex,acald_e --> acald_p,"{'acald_e': -1.0, 'acald_p': 1.0}","(0.0, 1000.0)",['ACALDtex']
ACALDtpp,acald_p --> acald_c,"{'acald_c': 1.0, 'acald_p': -1.0}","(0.0, 1000.0)",['ACALDtpp']
ACCOAL,atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,"{'adp_c': 1.0, 'atp_c': -1.0, 'coa_c': -1.0, 'pi_c': 1.0, 'ppa_c': -1.0, 'ppcoa_c': 1.0}","(0.0, 1000.0)","['ACCOAL', 'ACCOAL2r']"
ACGAtex,acgam_e --> acgam_p,"{'acgam_e': -1.0, 'acgam_p': 1.0}","(0.0, 1000.0)",['ACGAtex']
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,"{'alac__S_c': 1.0, 'co2_c': 1.0, 'h_c': -1.0, 'pyr_c': -2.0}","(0.0, 1000.0)",['ACLS']
ACMAMUT,uacmamu_c + unaga_c --> h_c + udp_c + unagamu_c,"{'h_c': 1.0, 'uacmamu_c': -1.0, 'udp_c': 1.0, 'unaga_c': -1.0, 'unagamu_c': 1.0}","(0.0, 1000.0)",['ACMAMUT']
ACMANAtex,acmana_e --> acmana_p,"{'acmana_e': -1.0, 'acmana_p': 1.0}","(0.0, 1000.0)",['ACMANAtex']
ACMUMtex,acmum_e --> acmum_p,"{'acmum_e': -1.0, 'acmum_p': 1.0}","(0.0, 1000.0)",['ACMUMtex']
ACNAMt2pp,acnam_p + h_p --> acnam_c + h_c,"{'acnam_c': 1.0, 'acnam_p': -1.0, 'h_c': 1.0, 'h_p': -1.0}","(0.0, 1000.0)",['ACNAMt2pp']
ACNML,acnam_c --> acmana_c + pyr_c,"{'acmana_c': 1.0, 'acnam_c': -1.0, 'pyr_c': 1.0}","(0.0, 1000.0)","['ACNML', 'ACNMLr']"
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,"{'b2coa_c': 1.0, 'btcoa_c': -1.0, 'fad_c': -1.0, 'fadh2_c': 1.0}","(0.0, 1000.0)",['ACOAD1f']
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,"{'fad_c': -1.0, 'fadh2_c': 1.0, 'hdd2coa_c': 1.0, 'pmtcoa_c': -1.0}","(0.0, 1000.0)",['ACOAD7f']
ACOATA,ACP_c + accoa_c --> acACP_c + coa_c,"{'ACP_c': -1.0, 'acACP_c': 1.0, 'accoa_c': -1.0, 'coa_c': 1.0}","(0.0, 1000.0)","['ACOATA', 'ACOATA_syn', 'ACOATAi']"
ACODA,acorn_c + h2o_c --> ac_c + orn_c,"{'ac_c': 1.0, 'acorn_c': -1.0, 'h2o_c': -1.0, 'orn_c': 1.0}","(0.0, 1000.0)","['ACODA', 'AODAA']"
ACONMT,acon_T_c + amet_c --> aconm_c + ahcys_c,"{'acon_T_c': -1.0, 'aconm_c': 1.0, 'ahcys_c': 1.0, 'amet_c': -1.0}","(0.0, 1000.0)",['ACONMT']
ACOTA,acorn_c + akg_c --> acg5sa_c + glu__L_c,"{'acg5sa_c': 1.0, 'acorn_c': -1.0, 'akg_c': -1.0, 'glu__L_c': 1.0}","(0.0, 1000.0)","['ACOTA', 'AOTA']"
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,"{'ACP_c': 1.0, 'h_c': -1.0, 'pi_c': -1.0, 'tdeACP_c': -1.0, 'ttdceap_c': 1.0}","(0.0, 1000.0)",['ACPPAT141']
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,"{'ACP_c': 1.0, 'h_c': -1.0, 'hdceap_c': 1.0, 'hdeACP_c': -1.0, 'pi_c': -1.0}","(0.0, 1000.0)",['ACPPAT161']
